uuid,female,male,other,skip,total
32c4d818-8e81-40e1-9292-4f8fd3b30232,,14,,,14
1287bc9d-7c1e-4d17-88e6-338a852b6f6e,,12,,1,13
2bb89a37-a00b-43fc-8ccf-e26415dab70a,,13,,1,14
c3935ec8-c1ee-44e3-a371-07083973b798,,13,,,13
4258ee61-b610-4973-8d6b-123143b0e2d5,,12,,1,13
995239c2-94c8-40d4-9343-839e60aaebea,,14,,,14
b1ac3a90-7a00-42f8-8cbb-a25aacc079c9,,15,,,15
ae289677-1951-41d8-bf59-122d34011b27,14,1,,,15
211ebbf1-82ae-4791-bb0c-92265a077e68,15,,,,15
0cde8a8c-919d-44d3-91c0-176e9c66b07c,13,1,,,14
0a355796-1593-4168-adf2-f09b5ef2be75,1,12,,,13
4a629361-b148-439f-b874-af88c9ff8c8c,14,1,,,15
6260ac90-d05b-496a-9545-39d22d7c152f,,15,,,15
3bd18a81-2acc-41db-9d9a-a46ff3900dfd,13,,,,13
c60b57e7-cc3b-48e5-a49e-a7580dacdeb0,,14,,,14
682d9e24-fe31-41f4-847c-5dba55d79f33,,13,,,13
757d9d0d-cd82-46ed-8495-2fb888a78a14,,13,,,13
1114c8de-565d-4228-891d-ff5d55f9cdc7,12,1,,,13
6344ab26-31a4-4478-8abf-a75e0e33b520,,13,,,13
85e77499-fe43-47a3-9611-d24154f410a7,,12,,,12
dd3f5721-49fe-4ad6-85ae-aa26c8581205,,13,,,13
7a6f53da-6880-4975-a6e8-03ccf1992d9c,,13,,,13
8229de1c-2dd0-4b28-9792-fa4eb980db63,,14,,,14
2031d871-ef1f-4f46-8f72-f8f699d469f1,11,,,1,12
349a1e14-f739-4507-8efe-cdf4d605f3cd,15,,,,15
eb140527-65ee-4c6b-96b2-4e732b31a8bf,1,12,,,13
1fa1bbd8-e6a3-48ff-959b-0bed13c871ad,,13,,,13
a48e5df6-afc1-4909-ae52-e8a91deac1d4,,14,,,14
bae4562e-df1c-40d7-8fff-77a253d0be08,,13,,,13
