id,wikidata
national_party,Q204716
new_zealand_national_party,Q204716
national,Q204716
labour_party,Q1048192
new_zealand_labour_party,Q1048192
labour,Q1048192
nz_first,Q180059
new_zealand_first,Q180059
green_party,Q1327761
green_party_of_aotearoa_new_zealand,Q1327761
green,Q1327761
act_new_zealand,Q288838
united_future,Q211656
maori_party,Q1375170
māori_party,Q1375170
māori,Q1375170
independent,Q327591
mana_party,Q1888545
act,Q288838
united_future_new_zealand,Q211656
nz_independent_coalition,Q18167361
jim_anderton's_progressive_party,Q1071444
progressive,Q1071444
