uuid,female,male,other,skip,total
01b736c9-bba7-48d7-add9-760ecaed6b03,0,0,0,1,1
0c924477-cd63-4d79-8907-782529fe1b42,0,0,0,1,1
1364d999-3e01-46fb-88fb-c01130903a1e,0,0,0,1,1
19897153-f032-4bc9-9a14-5ad6c7d8ed18,0,0,0,1,1
19968619-2ee0-425a-86ed-fa0642a5e9c8,0,0,0,1,1
2720afd9-7195-447b-b94d-199ee1d53b8e,0,0,0,1,1
2c4f7644-0e5a-4539-b4c4-a9fca9d32475,0,0,0,1,1
2f78e5fd-b525-4148-8de9-d4d2eaf3fafd,0,0,0,1,1
352bfc03-0adb-439a-a962-5f9b46c7d8f4,0,0,0,1,1
35c6b15e-c034-4145-84f8-52146556c6bb,0,0,0,1,1
43bb6876-2891-4065-9c10-2a1c3fae5695,0,0,0,1,1
51a278e5-55dd-4986-99bc-01dbca7456d0,0,0,0,1,1
5da30f95-6c72-426f-a4b7-d9d6a5267e26,0,0,0,1,1
68443233-3d6c-4467-84a3-1de859c5480a,0,0,0,1,1
71216f7f-89ea-4f10-98c4-9e1ade12b1b4,0,0,0,1,1
72205af3-e63a-400d-90bd-ab6274c2cce8,0,0,0,1,1
803c2919-9cb2-49c9-b7e4-26beccaa53e4,0,0,0,1,1
81051fa1-7636-45a4-bdc6-d5c39f16680d,0,0,0,1,1
8bd88db5-c254-4417-99c5-8883ac6c8be8,0,0,0,1,1
9942719a-8e48-4cc4-894c-c960689bf49a,0,0,0,1,1
a200a290-ecc2-45cb-b513-dda47b8368d7,0,0,0,1,1
a364db9a-4755-44c0-8de4-a7bd6d3c125b,0,0,0,1,1
b579c730-8e0a-49f5-bccf-dd380369adf7,0,0,0,1,1
b7451bfe-1902-45ba-851d-15ad508fcae0,0,0,0,1,1
be3a64ec-3edb-428c-abed-bbf1b4e22539,0,0,0,1,1
cb07e876-aded-41c9-80a6-184afd933fc3,0,1,0,0,1
d859c907-9648-4de4-b8e3-315ac02a7a9e,0,0,0,1,1
dc5508f8-ee51-4431-9b26-8f1004643c53,0,0,0,1,1
df615f5e-ab4e-44e4-aeeb-887e5994916a,0,0,0,1,1
e368e7cb-dd11-43d9-a52d-ac21a37658c3,0,0,0,1,1
e83cb2f4-2af8-4182-9e53-1cb64d81393a,0,0,0,1,1
