id,name,given_name,family_name,sort_name,gender,image
abbas-sinay,Abbas Sınay,Abbas,Sınay,"Sınay, Abbas",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/abbas-sinay.jpg
ahmet-gulle,Ahmet Gülle,Ahmet,Gülle,"Gülle, Ahmet",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ahmet-gulle.jpg
ahmet-kasif,Ahmet Kaşif,Ahmet,Kaşif,"Kaşif, Ahmet",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ahmet-kasif.jpg
ali-pilli,Ali Pilli,Ali,Pilli,"Pilli, Ali",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ali-pilli.jpg
arif-albayrak,Arif Albayrak,Arif,Albayrak,"Albayrak, Arif",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/arif-albayrak.jpg
armagan-candan,Armağan Candan,Armağan,Candan,"Candan, Armağan",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/armagan-candan.jpg
asim-akansoy,Asım Akansoy,Asım,Akansoy,"Akansoy, Asım",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/asim-akansoy.jpg
biray-hamzaogullari,Biray Hamzaoğulları,Biray,Hamzaoğulları,"Hamzaoğulları, Biray",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/biray-hamzaogullari.jpg
birikim-ozgur,Birikim Özgür,Birikim,Özgür,"Özgür, Birikim",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/birikim-ozgur.jpg
dogus-derya,Doğuş Derya,Doğuş,Derya,"Derya, Doğuş",female,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/dogus-derya.jpg
dursun-oguz,Dursun Oğuz,Dursun,Oğuz,"Oğuz, Dursun",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/dursun-oguz.jpg
erdal-ozcenk,Erdal Özcenk,Erdal,Özcenk,"Özcenk, Erdal",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/erdal-ozcenk.jpg
ergun-serdaroglu,Ergün Serdaroğlu,Ergün,Serdaroğlu,"Serdaroğlu, Ergün",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ergun-serdaroglu.jpg
erkut-sahali,Erkut Şahali,Erkut,Şahali,"Şahali, Erkut",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/erkut-sahali.jpg
ersin-tatar,Ersin Tatar,Ersin,Tatar,"Tatar, Ersin",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ersin-tatar.jpg
faiz-sucuoglu,Faiz Sucuoğlu,Faiz,Sucuoğlu,"Sucuoğlu, Faiz",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/faiz-sucuoglu.jpg
fazilet-ozdenefe,Fazilet Özdenefe,Fazilet,Özdenefe,"Özdenefe, Fazilet",female,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/fazilet-ozdenefe.jpg
