uuid,female,male,other,skip,total
0bb935b0-b6f4-48b4-a0ea-240425cd5611,0,1,0,0,1
2636e885-4c5a-4e12-a430-de9115861730,0,1,0,0,1
29b730be-b2d9-4ca6-9d0c-b895a5871149,0,1,0,0,1
29d8f08a-f1eb-44da-b1da-7e031bb656a4,0,1,0,0,1
345ba59e-ef7c-4693-94eb-c10572d00536,0,1,0,0,1
358edbec-634f-4908-aedd-15a559975e71,0,1,0,0,1
431e1022-bc3c-46e5-93ec-c1e303da64cf,0,1,0,0,1
5b8711f2-0065-4211-a188-bb06f9b42ab5,0,1,0,0,1
6c124e16-ec84-4091-bb05-6e5a87784b4d,0,1,0,0,1
6f08ecb9-7dc6-4f91-8e55-4655eb2c01cb,0,1,0,0,1
700fe283-d192-458b-9116-f19cd2107e8c,0,1,0,0,1
7656b7a5-fdd5-41b2-95b5-7a6440bbc268,0,1,0,0,1
7fd4b57a-ef6a-46ec-a729-ad498e511e22,0,1,0,0,1
91d310d7-34e0-4e36-8f8c-e0effe3e70bf,0,1,0,0,1
b124dd05-54ea-4983-864b-e751f8cc3688,1,0,0,0,1
bfb82816-e550-4dde-9770-1ba6815d3354,0,1,0,0,1
dc54c863-9655-4dfe-a7ec-79ab8da27f0a,0,1,0,0,1
de382311-67bb-4de7-833b-f37a3825599b,0,1,0,0,1
e900e033-2a4d-4a8c-9493-646e2cec48b9,0,1,0,0,1
f0dd9ea6-0025-41ff-886a-be3a3d40c6f8,0,1,0,0,1
