uuid,female,male,other,skip,total
77821d4c-d87a-4ebf-8cea-05ed59a2ee12,,6,,,6
4af99236-f89f-4ac6-9ff2-42faa10a7113,,6,,,6
bc830fff-b924-43fb-abc8-b18c767efc0a,6,,,,6
9cf14af7-dbf5-4ea1-9eb7-cce61803a69e,,6,,,6
27a15d15-00a4-422b-af31-7da7f6fc1418,5,1,,,6
1ed441f6-bb66-4fe0-ac9a-b15b5b76e4f9,6,,,,6
b4979ff7-3c0c-444b-9ebc-e19c57066e47,,6,,,6
91b2c978-d2ed-4b96-a5fe-a1238d1eb4c3,6,,,,6
2aef3936-01f9-4f3b-9f3b-5d91b01df56f,,7,,,7
4372808a-0107-4562-975f-d2185d52b495,5,1,,,6
a8e979d5-ba88-4f2f-8c73-4518d38a4bc6,5,,,1,6
ee94457b-a888-4592-a57e-95f5ca6cd625,,6,,,6
f15ce13f-7d3b-4ded-b7cd-034c3373d33c,,6,,,6
b466512b-9e1d-447f-88e3-9be652cd1840,,6,,,6
f808e850-6891-4a8e-a7aa-655762fd67f5,,7,,,7
8517c488-0f69-44a9-a73f-06fcc559344b,,6,,,6
57510b4f-cacc-4023-ba41-330b559cf154,6,,,,6
9f9dfeee-3e75-4b82-90f5-e1e3fd4b9ce2,,6,,,6
08b7dbb3-32d4-43f8-ac80-e7a631e7856f,6,,,,6
738b2dd3-f1e7-4764-a39a-c4d47a2aee53,6,,,,6
8815c38b-b073-4ba7-b0ca-8460b5c9d509,,5,,1,6
dbaf1bb7-8ebe-4abb-b36d-71be225a7c88,5,1,,,6
44a62556-6714-4764-a87c-5de83d84b3ed,,6,,,6
fa0c0542-574b-435b-abff-6dad773cd1cf,,6,,,6
403ef9ae-5d3e-44ab-9ecf-e361507a582b,,7,,,7
96ac9029-a1a0-4a94-9968-e624647876b9,5,,,1,6
e320b521-9a84-4a2b-832a-4ee48e3b4678,5,,,1,6
bf5ccf10-5983-48dd-b0eb-7dbddcddc2f7,6,,,1,7
d6939ccd-c0f6-48d9-9760-a571e5317907,,6,,,6
7981f9a7-b755-452e-8b42-7dfafa3e6903,5,,,1,6
58b1da04-f0e9-4d45-b411-bc1b74e6eb94,6,,,,6
0f82bf70-fd07-4b99-85a2-2f772bcf5d78,6,,,,6
9c2f3460-06cc-4d87-a30f-c2122407f5e6,,6,,,6
906e5072-ae6e-46a2-b0a1-05473f6882b8,6,,,,6
4a735c51-1ec6-474f-a1bb-03e521152fee,,5,,,5
7aefa78b-84ef-44c2-8c9a-530ea0136fed,,5,,,5
c3097e83-e350-4423-add4-5ef9752733ce,5,,,,5
fd1db2ae-10da-4a36-943f-08deef4dd65c,,6,,,6
7ce532cf-6d2e-4a6f-8aeb-42a3fed7c943,,5,,,5
2d93c18d-49c6-4cd4-b8b4-19d00a633d8f,,5,,,5
6738fe2c-b0ab-4444-9d88-6958ff71d2e7,,5,,,5
534ec05c-4d26-4061-83d7-f778ea4f4bf6,5,,,,5
33c0ca04-2e43-4134-aea3-468c604a2487,5,,,,5
3e166b28-6a65-45df-a3c0-cedcba207cdd,,5,,,5
8b022c35-904f-47ab-a05d-7c86999ed37a,5,,,,5
f2d6a3ee-82c6-4867-a73c-e41055159808,,6,,,6
da7dfedf-2de2-45ae-8334-b044183faa22,5,,,,5
e8d65b57-be65-4978-bd63-fd94a3050f6e,5,,,,5
39968b7f-e85b-4aa8-a9da-ce3b654277fd,,5,,,5
8fde542f-bc95-46e9-bc26-e7ca6a7b09bf,5,,,,5
adceac96-11b4-40d4-a9b6-d8adcc754587,5,,,,5
01165e26-8215-4247-a0dc-10e494f863a0,5,,,,5
5c9b7584-8408-4f57-9bef-ae27a79d9617,,5,,,5
d6cf4715-8b4a-4499-80db-5b0214516f01,,5,,,5
c67fa651-e58c-4bd1-a6d9-ff6b9d1c1fc1,,5,,,5
b4129f37-4b5e-4be2-95b5-e1e41e02948e,5,,,,5
e7eec07a-251d-460f-ae44-9a1279aff8cf,5,,,,5
36bc5c8d-0eef-4788-aa03-206df5b2a93e,,5,,,5
3c643fa3-4f5e-4658-a68b-c8ca3c6d6810,,5,,,5
392fa692-adab-4a33-bbdb-dc8ef36a0b9e,,5,,,5
9089ceec-f50f-4ca2-b045-cad77064e526,5,,,,5
5d13615c-2a27-4c55-97f0-ff2af39b88d8,,5,,,5
e24eb585-2a33-415e-abee-ba7e92e9386d,5,,,,5
129398d6-01fa-4826-85fb-61a7b3641ab1,6,,,,6
06f23d84-6528-49dd-a520-0bdd29f29efb,,5,,,5
f35f6cb3-441a-444e-853c-ae1ac3264519,,5,,,5
c631ac56-9637-4d1a-93b0-0e55d5097eda,6,,,,6
774785a9-5343-4d38-9703-64fc536d9374,,5,,,5
7154b43b-ed51-464f-8828-f784c9890f2d,,5,,,5
ff10bc5a-4aad-4895-b886-fb88e598ed57,,5,,,5
c10cfea6-4c47-4d24-8cfc-80824c1f4b45,,5,,,5
4c0b7d99-a7aa-4a9c-85db-952c3459ea29,5,,,,5
03c6a7eb-988b-4248-a145-8533b5238867,5,,,,5
2df387b0-55d2-49d3-96ee-8ee7b9f39d54,,5,,,5
8a3958c0-db3a-4522-8763-8f1e2a303e59,6,,,,6
10726b84-f2ba-480d-94ae-3296fa34bb10,,5,,,5
8f1731cb-6d5a-4315-82ce-7b443a884d2a,,5,,,5
f5c2c9a4-7af2-4b1c-a755-72ae0738c33b,,5,,,5
ba893136-79f7-47c6-9e00-fb36ffb6a0cc,,5,,,5
b4b8f9d3-c63a-49b0-9b2e-0e11519c3fea,5,,,,5
11a8f6b1-1ba9-4cef-83f4-68e452d987d2,,5,,,5
05c9d5e8-d300-4a2f-8339-0e7caeb249d5,6,,,,6
