id,name__no,name,wikipedia__no,name__nb,wikipedia__nb,name__nn,wikipedia__nn,name__en,wikipedia__en,image,gender,birth_date,given_name,identifier__freebase,twitter,identifier__VIAF,identifier__IMDB,identifier__GND,identifier__LCAuth,identifier__BIBSYS,facebook,identifier__ISNI,identifier__SUDOC,family_name,identifier__NNDB,identifier__Munzinger,identifier__GTAA,identifier__parlement,website,death_date,identifier__BNF,identifier__NTA,identifier__NDL,identifier__NLA,identifier__NSK,identifier__NPG,identifier__N6I,name__de,name__es,name__fr,name__nl,name__da,name__sv,wikipedia__da,wikipedia__de,name__pl,name__se,wikipedia__fr,wikipedia__pl,wikipedia__se,wikipedia__sv,name__ru,name__ro,name__fi,name__et,name__fo,name__cs,name__ja,name__he,name__uk,name__fa,wikipedia__cs,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fo,wikipedia__he,wikipedia__ja,wikipedia__nl,wikipedia__ro,wikipedia__ru,wikipedia__uk,name__id,wikipedia__id,wikipedia__commons,name__ka,wikipedia__ka,name__la,wikipedia__la,name__it,wikipedia__it,wikipedia__nowikiquote,name__tr,wikipedia__tr,name__cy,name__en_gb,name__eo,name__gl,wikipedia__gl,name__ar,wikipedia__ar,name__is,name__qu,name__de_ch,name__en_ca,wikipedia__cswikiquote,wikipedia__is,wikipedia__plwikiquote,wikipedia__qu,name__ca,name__hr,name__lt,name__pt,name__sk,name__sl,name__kl,name__vi,wikipedia__vi,name__ur,wikipedia__ur,name__hu,name__el,name__ta,name__af,name__bn,name__br,name__lb,name__sr,name__be,name__zh,name__mr,name__lmo,name__ko,name__mk,name__nds,name__vmf,name__vls,name__pdc,name__gsw,wikipedia__af,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__el,wikipedia__hu,wikipedia__ko,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__mr,wikipedia__pt,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__ta,wikipedia__zh,name__an,name__bs,name__ceb,name__eu,name__ga,name__nds_nl,name__pms,name__sq,name__vec,name__wa,name__oc,name__ms,name__sw,name__bcl,name__be_tarask,name__io,name__kk,name__yo,name__lv,name__sh,name__ku,name__bg,name__pt_br,name__sco,name__ml,name__hi,name__az,name__ie,name__hy,wikipedia__an,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__bg,wikipedia__ca,wikipedia__dewikiquote,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eu,wikipedia__ga,wikipedia__hi,wikipedia__ie,wikipedia__io,wikipedia__kk,wikipedia__ku,wikipedia__lv,wikipedia__ml,wikipedia__ms,wikipedia__oc,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__sw,wikipedia__yo,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,wikipedia__nds,wikipedia__hy,name__sr_el,name__sr_ec,name__ia,name__tl,name__ku_arab,name__ku_latn,name__war,name__mg,name__ne,wikipedia__bs,wikipedia__cy,wikipedia__eswikiquote,wikipedia__hr,wikipedia__ia,wikipedia__mg,wikipedia__sl,wikipedia__slwikiquote,wikipedia__tl,wikipedia__war,wikipedia__enwikisource,name__szl,wikipedia__szl,wikipedia__bswikiquote,name__jv,name__my,name__te,name__zh_mo,name__zh_my,name__th,name__arz,wikipedia__arz,wikipedia__jv,wikipedia__my,wikipedia__ne,wikipedia__te,wikipedia__th,identifier__GNC,wikipedia__species,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gd,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__scn,name__vo,name__wo,name__zu,wikipedia__ast,original_wikiname,identifier__OLID,identifier__NLAtrove,identifier__FAST,identifier__Britannica,wikipedia__frwikiquote,wikipedia__nowikisource,name__new,name__sa,wikipedia__new,wikipedia__sa,name__diq,identifier__MusicBrainz,identifier__NKC,identifier__SFDb,identifier__TED,name__fit,name__vep,wikipedia__vep,wikipedia__nnwikiquote
Q11963665,,Christian L. Holm,Christian L. Holm,Christian L. Holm,"",,"",Christian L. Holm,"",,male,1892-05-06,Christian,,,,,,,,,,,,,,,,,1981-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16760855,,Peder Jacobsen,Peder Jacobsen (1888–1967),Peder Jacobsen,"",,"",Peder Jacobsen,"",,male,1888-05-13,Peder,,,,,,,,,,,,,,,,,1967-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16760934,,Håkon O. Wika,Håkon O. Wika,Håkon O. Wika,"",,"",Håkon O. Wika,"",,male,1899-07-01,Håkon,,,,,,,,,,,,,,,,,1981-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11997154,,Rasmus Hansson,Rasmus Hansson,Rasmus Hansson,,Rasmus Hansson,Rasmus Hansson,Rasmus Hansson,Rasmus Hansson,https://upload.wikimedia.org/wikipedia/commons/5/51/Rasmus_Hansson.jpg,male,1954-09-04,Rasmus,,,,,,,,,,,Q11974154,,,,,,,,,,,,,,Rasmus Hansson,Rasmus Hansson,Rasmus Hansson,Rasmus Hansson,,Rasmus Hansson,,,,,Rasmus Hansson,,,Rasmus Hansson (stortingsledamot),,,,,,,,,,,,,,,,,,,,,,,,,Category:Rasmus Hansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16760891,,Sverre Nybø,Sverre Nybø,Sverre Nybø,,,,Sverre Nybø,,,male,1903-11-24,Sverre,,,,,,,,,,,,,,,,,1976-09-04,,,,,,,,Sverre Nybø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sverre Nybø,,,,,,,,,,,,,,,,,,,
Q7283129,,Ragna Johanne Forsberg,,,,,,Ragna Johanne Forsberg,Ragna Johanne Forsberg,,female,1908-02-03,Ragna,,,,,,,,,,,,,,,,,1984-09-04,,,,,,,,Ragna Johanne Forsberg,,Ragna Johanne Forsberg,Ragna Johanne Forsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ragna Johanne Forsberg,,,,,,,,,,,,,,,,,,,
Q6215229,,Johan M. Nyland,Johan M. Nyland,Johan M. Nyland,,Johan M. Nyland,,Johan M. Nyland,Johan M. Nyland,,male,1931-10-06,Johan,,,,,,,,,,,,,,,,,2007-04-13,,,,,,,,,,Johan M. Nyland,Johan M. Nyland,Johan M. Nyland,Johan M. Nyland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johan M. Nyland,,,,,,,,,,,,,,,,,,,
Q1367511,,Kåre Kristiansen,Kåre Kristiansen,Kåre Kristiansen,,Kåre Kristiansen,Kåre Kristiansen,Kåre Kristiansen,Kåre Kristiansen,https://upload.wikimedia.org/wikipedia/commons/d/d2/Kaare_Kristiansen_politiker_KrF.JPG,male,1920-03-11,Kåre,/m/0964sp,,79080330,,118958941,n90691324,x90530935,,0000 0001 1449 1056,030937418,,,,,,,2005-12-03,122253305,,,,,,,Kåre Kristiansen,Kåre Kristiansen,Kåre Kristiansen,Kåre Kristiansen,Kåre Kristiansen,Kåre Kristiansen,,Kåre Kristiansen,Kåre Kristiansen,,,Kåre Kristiansen,,,,,,,,,,קורה כריסטיאנסן,,,,,,,,,קורה כריסטיאנסן,,,,,,,,,,,,,,,,,,Kåre Kristiansen,,,,,كوره كريستيانسن,كوره كريستيانسن,,,,,,,,,,,,,,,,,,,,Kåre Kristiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kåre Kristiansen,,,275051,,,,,,,,,,,,,,,,
Q11986523,,Liv Andersen,Liv Andersen,Liv Andersen,,Liv Andersen,Liv Andersen,Liv Andersen,Liv Andersen,,female,1919-08-09,Liv,,,,,,,,,,,,,,,,,1997-03-21,,,,,,,,Liv Andersen,,Liv Andersen,Liv Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liv Andersen,,,,,,,,,,,,,,,,,,,
Q210808,,Hans Berg,Hans Berg,Hans Berg,,Hans Berg,,Hans Berg,Hans Berg,,male,1902-02-25,Hans,,,,,,,,,,,,,,,,,1980-08-15,,,,,,,,Hans Berg,Hans Berg,Hans Berg,Hans Berg,Hans Berg,Hans Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans Berg,,,,,,,,,,,,,,,,,,,
