id,name__ps,name__fr,name__en,name__de,name__ur,name__es,name__fa,name__nl,name__sd,name,wikipedia__de,wikipedia__en,wikipedia__fa,wikipedia__fr,wikipedia__ps,wikipedia__sd,wikipedia__ur,gender,birth_date,original_wikiname,given_name,wikipedia__enwikiquote,name__it,name__en_gb,identifier__VIAF,name__pnb,wikipedia__pnb,name__ru,name__ar,wikipedia__ar,wikipedia__ru,identifier__freebase,name__bn,name__gu,name__hi,name__id,name__ja,name__ka,name__kn,name__ko,name__ml,name__mr,name__ms,name__sv,name__ta,name__te,name__zh,name__nb,name__pa,name__bg,name__mzn,name__he,name__et,name__fi,name__da,name__tr,name__ne,wikipedia__bg,wikipedia__bn,wikipedia__commons,wikipedia__es,wikipedia__gu,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__mzn,wikipedia__ne,wikipedia__nl,wikipedia__no,wikipedia__pa,wikipedia__ruwikinews,wikipedia__simple,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__zh,image,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__Munzinger,identifier__NPG,identifier__FAST,name__mg,wikipedia__mg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__yo,name__vi,name__sh,name__pt,name__th,name__ca,name__uk,name__nn,name__eu,name__lb,name__pam,name__sr,name__eo,name__el,name__io,name__ks,name__cs,name__en_ca,name__pt_br,name__sa,name__mai,name__be,wikipedia__be,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__eowikinews,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__io,wikipedia__ks,wikipedia__lb,wikipedia__mai,wikipedia__nn,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__sa,wikipedia__sh,wikipedia__sr,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,website,identifier__NNDB,facebook,name__az,wikipedia__az,name__oc,name__hu,last_seen
Q10970911,محمود خان اڅکزی,Mahmood Khan Achakzai,Mahmood Khan Achakzai,Mahmood Khan Achakzai,محمود خان اچکزئی,Mahmood Khan Achakzai,,Muhammad Khan Achakzai,,Mahmood Khan Achakzai,,Mahmood Khan Achakzai,,,محمود خان اڅکزی,,محمود خان اچکزئی,male,1948,Mehmood Khan Achakzai,Muhammad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahmood Khan Achakzai,2016-03-26
Q13139153,,Khawaja Saad Rafique,Khawaja Saad Rafique,Khawaja Saad Rafique,,Khawaja Saad Rafique,,Khawaja Saad Rafique,,Khawaja Saad Rafique,,Khawaja Saad Rafique,,,,,,male,1962-11-05,Khawaja Saad Rafique,,,,,,خواجہ سعد رفیق,خواجہ سعد رفیق,"Рафик, Хаваджа Саад",,,"Рафик, Хаваджа Саад",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/46/PrimeMinisterNawazSharif.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khawaja Saad Rafique,2016-03-26
Q134068,,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,نواز شریف,Nawaz Sharif,نواز شریف,Nawaz Sharif,,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,نواز شریف,Nawaz Sharif,,,نواز شریف,male,1949-12-25,Nawaz Sharif,,,Nawaz Sharif,Nawaz Sharif,21238372,نواز شریف,نواز شریف,"Шариф, Наваз",نواز شريف,نواز شريف,"Шариф, Наваз",/m/020t62,নওয়াজ শরীফ,,नवाज शरीफ,Nawaz Sharif,ナワーズ・シャリーフ,,ನವಾಜ್ ಶರೀಫ್,나와즈 샤리프,നവാസ് ഷെരീഫ്,नवाझ शरीफ,Nawaz Sharif,Nawaz Sharif,நவாஸ் ஷெரீப்,,納瓦茲·謝里夫,Nawaz Sharif,ਨਵਾਜ਼ ਸ਼ਰੀਫ਼,Наваз Шариф,,נוואז שריף,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Navaz Şerif,नवाज सरिफ,Наваз Шариф,নওয়াজ শরীফ,,Nawaz Sharif,,נוואז שריף,नवाज़ शरीफ़,Nawaz Sharif,Nawaz Sharif,ナワーズ・シャリーフ,,ನವಾಜ್ ಶರೀಫ್,나와즈 샤리프,നവാസ് ഷെരീഫ്,नवाझ शरीफ,Nawaz Sharif,,नवाज शरिफ,Nawaz Sharif,Nawaz Sharif,ਨਵਾਜ਼ ਸ਼ਰੀਫ਼,Категория:Наваз Шариф,Nawaz Sharif,Nawaz Sharif,நவாஸ் ஷெரீப்,,納瓦茲·謝里夫,"https://upload.wikimedia.org/wikipedia/commons/8/87/Nawaz_Sharif_detail,_981203-D-9880W-117.jpg",,138784299,n88186558,,121181030,,,,290200,,,纳瓦兹·谢里夫,納瓦茲·謝里夫,納瓦茲·謝里夫,纳瓦兹·谢里夫,纳瓦兹·谢里夫,納瓦茲·謝里夫,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,นาวาซ ชาริฟ,Nawaz Sharif,Наваз Шариф,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Наваз Шариф,Naŭaz Ŝarif,Ναγουάζ Σαρίφ,Nawaz Sharif,نواز شریف,Naváz Šaríf,Nawaz Sharif,Nawaz Sharif,नवाझ् शरीफ्,नवाज शरिफ,Наваз Шарыф,Наваз Шарыф,Nawaz Sharif,Naváz Šaríf,Nawaz Sharif,Ναγουάζ Σαρίφ,Naŭaz Ŝarif,Kategorio:Nawaz SHARIF,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,نواز شریف,Nawaz Sharif,नवाज शरिफ,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,नवाझ् शरीफ्,Nawaz Sharif,Наваз Шариф,นาวาซ ชาริฟ,Navaz Şerif,Наваз Шариф,Nawaz Sharif,Nawaz Sharif,http://pmo.gov.pk/,567/000162081,PrimeMinisterNawazSharif,,,,Nawaz Sharif,2016-03-26
Q1347631,,Ghulam Ahmad Bilour,Ghulam Ahmad Bilour,Ghulam Ahmad Bilour,غلام احمد بلور,Ghulam Ahmad Bilour,,Ghulam Ahmad Bilour,,Ghulam Ahmad Bilour,Ghulam Ahmad Bilour,Ghulam Ahmad Bilour,,Ghulam Ahmad Bilour,,,غلام احمد بلور,male,1939-12-25,Ghulam Ahmed Bilour,,,,,,,,Гулам Ахмед Билур,حاجي غلام أحمد بلال,حاجي غلام أحمد بلال,"Билур, Гулам Ахмед",/m/03ynfxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghulam Ahmad Bilour,2016-03-26
Q13534583,,Sardar Ayaz Sadiq,Sardar Ayaz Sadiq,Sardar Ayaz Sadiq,سردار اياز صادق,Sardar Ayaz Sadiq,,Sardar Ayaz Sadiq,,Sardar Ayaz Sadiq,,Sardar Ayaz Sadiq,,Ayaz Sadiq,,,سردار اياز صادق,male,1954-10-17,Ayaz Sadiq,Sardar,,,,,,,"Садик, Сардар",,,"Садик, Сардар",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q140144,,Zafarullah Khan Jamali,Zafarullah Khan Jamali,Zafarullah Khan Jamali,ظفر اللہ خان جمالی,Zafarullah Khan Jamali,,Zafarullah Khan Jamali,,Zafarullah Khan Jamali,Zafarullah Khan Jamali,Zafarullah Khan Jamali,,Zafarullah Khan Jamali,,,ظفر اللہ خان جمالی,male,1944-01-01,Mir Zafarullah Khan Jamali,,,Zafarullah Khan Jamali,,,,,"Джамали, Зафарулла Хан",مير ظفر الله خان جمالي,مير ظفر الله خان جمالي,"Джамали, Зафарулла Хан",/m/02316n,,,,Zafarullah Khan Jamali,ザファルッラー・カーン・ジャマーリー,,,자파룰라 칸 자말리,,,Zafarullah Khan Jamali,,,,扎法魯拉·汗·賈邁利,,,,,,,,,Zaferullah Han Cemali,,,,Category:Mir Zafarullah Khan Jamali,,,,,Zafarullah Khan Jamali,Zafarullah Khan Jamali,ザファルッラー・カーン・ジャマーリー,,,자파룰라 칸 자말리,,,Zafarullah Khan Jamali,,,,,,,Zafarullah Khan Jamali,,,,扎法魯拉·汗·賈邁利,https://upload.wikimedia.org/wikipedia/commons/f/ff/Zafarullah_Khan_Jamali.jpg,,,,,,,,,,,,,,,,,,,Zafarullah Khan Jamali,,,Zafarullah Khan Jamali,,Zafarullah Khan Jamali,,,,,,,,,Zafarullah Khan Jamali,ظفر اللہ خان جمالی,,,,,,,,,,,,,,,,,Zafarullah Khan Jamali,ظفر اللہ خان جمالی,,,,,,Zafarullah Khan Jamali,,,,,Zaferullah Han Cemali,,,Zafarullah Khan Jamali,,,,,,Zafarullah Khan Jamali,Zafarullah Khan Jamali,2016-03-26
Q1543422,,Shah Mehmood Qureshi,Shah Mehmood Qureshi,Shah Mehmood Qureshi,شاہ محمود قریشی,Shah Mehmood Qureshi,,Shah Mehmood Qureshi,,Shah Mehmood Qureshi,Shah Mehmood Qureshi,Shah Mehmood Qureshi,,Shah Mehmood Qureshi,,,شاہ محمود قریشی,male,1956-06-22,Shah Mehmood Qureshi,,,,,,شاه محمود قریشی,شاه محمود قریشی,"Куреши, Шах Мехмуд",,,"Куреши, Шах Мехмуд",/m/03qmjfk,,,,,,,,,,,,,,,沙阿·迈赫穆德·库雷希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沙阿·迈赫穆德·库雷希,"https://upload.wikimedia.org/wikipedia/commons/7/73/Msc_2009-Sunday,_11.00_-_12.30_Uhr-Zwez_003_Qureshi.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Şah Mahmud Qureyşi,Şah Mahmud Qureyşi,,Shah Mehmood Qureshi,2016-03-26
Q155164,عمران خان,Imran Khan,Imran Khan,Imran Khan,عمران خان,Imran Khan,عمران خان,Imran Khan,,Imran Khan,Imran Khan,Imran Khan,عمران خان,Imran Khan,عمران خان,,عمران خان,male,1953-11-06,Imran Khan,Imran,,Imran Khan,,225933538,عمران خان,عمران خان,Имран Хан,عمران خان,عمران خان,"Хан, Имран",/m/025cj4,ইমরান খান,ઇમરાન ખાન,इमरान ख़ान,Imran Khan Niazi,イムラン・カーン,იმრან ხანი,ಇಮ್ರಾನ್ ಖಾನ್,이므란 칸,ഇമ്രാൻ ഖാൻ,इम्रान खान,Imran Khan,Imran Khan,இம்ரான் கான்,ఇమ్రాన్ ఖాన్ నియాజి,伊姆蘭·罕,Imran Khan,ਇਮਰਾਨ ਖਾਨ,Имран Хан,عمران خان,אימראן חאן,Imran Khan,Imran Khan,Imran Khan,Imran Khan,इमरान खान,Имран Хан,ইমরান খান,Imran Khan,Imran Khan,ઇમરાન ખાન,אימראן חאן,इमरान ख़ान,Imran Khan Niazi,Imran Khan (politico),イムラン・カーン,იმრან ხანი,ಇಮ್ರಾನ್ ಖಾನ್,이므란 칸,ഇമ്രാൻ ഖാൻ (ക്രിക്കറ്റ് താരം),इम्रान खान,Imran Khan,عمران خان,इमरान खान,Imran Khan,Imran Khan,ਇਮਰਾਨ ਖ਼ਾਨ,Категория:Имран Хан,Imran Khan,Imran Khan,இம்ரான் கான்,ఇమ్రాన్ ఖాన్ నియాజి,伊姆蘭·罕,https://upload.wikimedia.org/wikipedia/commons/a/a1/Imran_Khan.jpg,0000 0001 1576 2209,118984454,n83301630,14903420q,171622693,nm0451231,00000022071,mp83634,1757504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imran Khan,2016-03-26
Q15715800,,Ayesha Gulalai Wazir,Ayesha Gulalai Wazir,Ayesha Gulalai Wazir,,,,Ayesha Gulalai Wazir,,Ayesha Gulalai Wazir,,Ayesha Gulalai Wazir,,,,,,female,,Ayesha Gulalai,,,Ayesha Gulalai Wazir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayesha Gulalai Wazir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q15982825,,Muhammad Javed Ikhlas,Muhammad Javed Ikhlas,Muhammad Javed Ikhlas,,,,Muhammad Javed Ikhlas,,Muhammad Javed Ikhlas,,Muhammad Javed Ikhlas,,,,,,male,,Muhammad Javed Ikhlas,Muhammad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
