name,suplente,area,party,image,term,source
HD JOSÉ LUIS CASTILLO GÓMEZ,"Aguilera Franceschi, Carlos Eugenio",4-3,Partido Panameñista,"",2014,http://www.asamblea.gob.pa/diputados/
H.D. JUAN B. MOYA M,"",8-8,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/xHD_JUAN_B_MOYA_PWC.jpg.pagespeed.ic.2CUoZX4PIV.jpg,2014,http://www.asamblea.gob.pa/diputados/
HD JUAN BAUTISTA SERRANO JIMENEZ,"Pérez Famanía, Jacobo",4-4,Partido Panameñista,"",2014,http://www.asamblea.gob.pa/diputados/
H.D. FLORENTINO ABREGO LEZCANO,"Morales Beitía, Hernán Antonio",4-1,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/H.D%20FLORENTINO_ABREGO2_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. YANIBEL ABREGO SMITH,"Rodríguez Medina, Maximino",8-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_YANIBEL_ABREGO-PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. CRISPIANO ADAMES NAVARRO,"Ríos Herazo, Irving Ameth",8-7,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_CRISPIANO_ADAMES_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. CARLOS AGUSTIN AFU DECEREGA,"Afu Brandao, Carlos Agustín",7-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_CARLOS_AFU_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. FRANCISCO JOSE ALEMAN MENDOZA,"González Camarena, Maira Esther",8-6,Partido Molirena,http://www.asamblea.gob.pa/fotdip/HD_FRANCISCO_ALEMAN_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. HECTOR EDUARDO APARICIO DIAZ,"Aizpurua Adames, Manuel Enrique",9-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_HECTOR_APARICIO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JUAN CARLOS ARANGO REESE,"Vergara Cárdenas, Edwin Emilio",8-3,Partido Popular,http://www.asamblea.gob.pa/fotdip/HD_JUAN_C_ARANGO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. RONY RONALD ARAUZ GONZALEZ,"Araúz, Eric Nelson",4-6,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_RONY_ARAUZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JORGE IVAN ARROCHA ROSARIO,"Pascual Otero, Dionicio",2-1,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/HD_JORGE_I_ARROCHA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ATHENAS ATHANASIADIS ROJAS,"Rojas Espinosa, Alejandro",4-5,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/H.D%20ATHENAS_ATHANASIADES_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. LEANDRO AVILA,"Caballero Hurtado, Cristian Nivaldo",8-6,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_LEANDRO_AVILA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ROBERTO ANTONIO AYALA,"Díaz Sánchez, Diomedes Jacinto",8-5,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_ROBERTO_AYALA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. IRACEMA AYARZA DE,"CEREZO RODRIGUEZ, RICARDO ZOILO",3-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/hd_iracema_de_dale_pwc.jpg,2014,http://www.asamblea.gob.pa/diputados/
