uuid,female,male,other,skip,total
00888c24-db26-43c3-a5a7-59385f06972d,1,0,0,0,1
0c1beb9c-d984-4929-9448-1d88c91d73ac,0,1,0,0,1
0c6805d8-236c-4148-9eef-b27ed32b5dcc,0,1,0,0,1
0df79ea4-7528-4f8e-a1f2-980cc94c2e1f,1,0,0,0,1
18211ee8-5cef-4187-ae81-24d2a09d7cde,0,1,0,0,1
1b02ad62-bde4-4e8d-94aa-2e3d14a8e7eb,0,1,0,0,1
23c1bf3e-62e8-4c41-b004-1645c489c4fe,0,1,0,0,1
2a7b8e9e-bf26-40e7-afd2-a5053cf11ab1,0,1,0,0,1
3065dd78-0733-4106-af55-01f52c677ed0,0,1,0,0,1
316800f0-c283-4dbe-8682-3bab9e0015ab,0,1,0,0,1
36a3b0fb-0d10-4d81-9669-fe019dc99a8c,0,1,0,0,1
3e9bc298-637d-45a1-a958-d607a8d9acfe,0,1,0,0,1
425ca3fe-9915-4b6b-b035-a1763aeb42e1,0,1,0,0,1
429fc2ca-c641-4b79-9b2d-7662e14045f6,0,1,0,0,1
46f34b5e-bb04-4240-a29c-3aaa0ac4c1e9,1,0,0,0,1
5781847d-4806-4741-94a8-beacc70f4ffc,0,1,0,0,1
5c19090e-e420-47ad-bf4c-e1c911532011,1,0,0,0,1
6d362074-ba17-402f-b226-ab95fbe27331,0,1,0,0,1
6f8fb4ef-986e-401b-b269-a6adc197de88,0,1,0,0,1
71d54d85-a422-43e6-92f4-632c58c938e9,0,1,0,0,1
836647ff-f490-441d-8297-8326eaecf6ef,1,0,0,0,1
8599dd1b-03e7-48fa-ab4b-fc0b188e9540,0,1,0,0,1
8bc4afc6-2669-4192-ae76-0a59ab977f17,1,0,0,0,1
8be74d27-920d-4b0b-8a85-23ad161786d3,0,1,0,0,1
8e7d8a52-92e8-4136-86d6-02a5ca7eda34,0,1,0,0,1
96b9c5f0-c357-4e68-b187-8b549cbc0622,0,1,0,0,1
a0a4eb29-54ec-4d97-b28b-b9f4849664d2,0,1,0,0,1
a3239248-a8db-45f8-8d3e-f089486578ae,1,0,0,0,1
a37aacce-93be-42c2-b312-f4f9d5dab14d,1,0,0,0,1
a90d8d63-d279-48d4-af89-f9b11489efb8,0,1,0,0,1
ac5d9d1d-4a17-434a-bad6-302fdc6e7075,0,1,0,0,1
ac8102d9-24a5-40b1-9228-b00543b38c32,0,1,0,0,1
aca72eb5-6ced-4907-abb0-4bda88c955cf,1,0,0,0,1
ad873e74-f863-489b-beab-ec5a76dfdfb7,0,1,0,0,1
b57d094b-9dd8-4355-be69-25f81ba142b5,0,1,0,0,1
b8c2fe93-a8e7-4953-8cb5-85eea962b031,0,1,0,0,1
b988b485-168b-40c9-a79e-547b6095e835,0,1,0,0,1
bd2ff536-8145-4956-8728-7489ce2a6a77,0,1,0,0,1
de6913fb-c441-4a6a-9183-a8ef9e580440,1,0,0,0,1
e5da0f36-b965-437f-a6db-d23df02eac21,0,1,0,0,1
eb87407f-53df-44a2-89b0-a8da0523884a,1,0,0,0,1
f7440021-ab9a-4291-8d73-a76310fb2789,1,0,0,0,1
f7490bc8-8bbf-4776-8706-2f8ef9d9ef00,0,1,0,0,1
fd7d6c50-de21-4f56-8ddd-0d77d526611e,0,1,0,0,1
