id,name,full_name,photo,email,official_website,wikipedia,twitter,source,identifier__parlamento,term,party,area
abel-baptista,Abel Baptista,Abel Lima Baptista,http://demo.cratica.org/media/img/deputados/2167.jpg,abel.l.baptista@cds.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2167,"","",http://demo.cratica.org/deputados/abel-baptista/,2167,12,CDS-PP,Viana do Castelo
abel-baptista,Abel Baptista,Abel Lima Baptista,http://demo.cratica.org/media/img/deputados/2167.jpg,abel.l.baptista@cds.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2167,"","",http://demo.cratica.org/deputados/abel-baptista/,2167,11,CDS-PP,Viana do Castelo
abel-baptista,Abel Baptista,Abel Lima Baptista,http://demo.cratica.org/media/img/deputados/2167.jpg,abel.l.baptista@cds.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2167,"","",http://demo.cratica.org/deputados/abel-baptista/,2167,10,CDS-PP,Viana do Castelo
acacio-pinto,Acácio Pinto,Acácio Santos da Fonseca Pinto,http://demo.cratica.org/media/img/deputados/4208.jpg,gp_ps@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4208,"","",http://demo.cratica.org/deputados/acacio-pinto/,4208,12,PS,Viseu
acacio-pinto,Acácio Pinto,Acácio Santos da Fonseca Pinto,http://demo.cratica.org/media/img/deputados/4208.jpg,gp_ps@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4208,"","",http://demo.cratica.org/deputados/acacio-pinto/,4208,11,PS,Viseu
adriano-rafael-moreira,Adriano Rafael Moreira,Adriano Rafael de Sousa Moreira,http://demo.cratica.org/media/img/deputados/2027.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2027,"","",http://demo.cratica.org/deputados/adriano-rafael-moreira/,2027,12,PSD,Porto
adriano-rafael-moreira,Adriano Rafael Moreira,Adriano Rafael de Sousa Moreira,http://demo.cratica.org/media/img/deputados/2027.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2027,"","",http://demo.cratica.org/deputados/adriano-rafael-moreira/,2027,11,PSD,Porto
adao-silva,Adão Silva,Adão José Fonseca Silva,http://demo.cratica.org/media/img/deputados/3.jpg,adaosilva@psd.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,"","",http://demo.cratica.org/deputados/adao-silva/,3,12,PSD,Bragança
adao-silva,Adão Silva,Adão José Fonseca Silva,http://demo.cratica.org/media/img/deputados/3.jpg,adaosilva@psd.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,"","",http://demo.cratica.org/deputados/adao-silva/,3,11,PSD,Bragança
adao-silva,Adão Silva,Adão José Fonseca Silva,http://demo.cratica.org/media/img/deputados/3.jpg,adaosilva@psd.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,"","",http://demo.cratica.org/deputados/adao-silva/,3,10,PSD,Bragança
adao-silva,Adão Silva,Adão José Fonseca Silva,http://demo.cratica.org/media/img/deputados/3.jpg,adaosilva@psd.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,"","",http://demo.cratica.org/deputados/adao-silva/,3,9,PSD,Bragança
adao-silva,Adão Silva,Adão José Fonseca Silva,http://demo.cratica.org/media/img/deputados/3.jpg,adaosilva@psd.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,"","",http://demo.cratica.org/deputados/adao-silva/,3,8,PSD,Bragança
adao-silva,Adão Silva,Adão José Fonseca Silva,http://demo.cratica.org/media/img/deputados/3.jpg,adaosilva@psd.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,"","",http://demo.cratica.org/deputados/adao-silva/,3,6,PSD,Bragança
afonso-oliveira,Afonso Oliveira,Afonso Gonçalves da Silva Oliveira,http://demo.cratica.org/media/img/deputados/4397.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4397,"","",http://demo.cratica.org/deputados/afonso-oliveira/,4397,12,PSD,Porto
agostinho-santa,Agostinho Santa,Agostinho Gonçalves Alves da Santa,http://demo.cratica.org/media/img/deputados/4363.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4363,"","",http://demo.cratica.org/deputados/agostinho-santa/,4363,12,PS,Vila Real
alberto-costa,Alberto Costa,Alberto Bernardes Costa,http://demo.cratica.org/media/img/deputados/143.jpg,gp_ps@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=143,http://pt.wikipedia.org/wiki/Alberto_Costa,"",http://demo.cratica.org/deputados/alberto-costa/,143,12,PS,Lisboa
alberto-costa,Alberto Costa,Alberto Bernardes Costa,http://demo.cratica.org/media/img/deputados/143.jpg,gp_ps@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=143,http://pt.wikipedia.org/wiki/Alberto_Costa,"",http://demo.cratica.org/deputados/alberto-costa/,143,11,PS,Lisboa
alberto-costa,Alberto Costa,Alberto Bernardes Costa,http://demo.cratica.org/media/img/deputados/143.jpg,gp_ps@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=143,http://pt.wikipedia.org/wiki/Alberto_Costa,"",http://demo.cratica.org/deputados/alberto-costa/,143,10,PS,Leiria
alberto-costa,Alberto Costa,Alberto Bernardes Costa,http://demo.cratica.org/media/img/deputados/143.jpg,gp_ps@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=143,http://pt.wikipedia.org/wiki/Alberto_Costa,"",http://demo.cratica.org/deputados/alberto-costa/,143,9,PS,Porto
alberto-costa,Alberto Costa,Alberto Bernardes Costa,http://demo.cratica.org/media/img/deputados/143.jpg,gp_ps@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=143,http://pt.wikipedia.org/wiki/Alberto_Costa,"",http://demo.cratica.org/deputados/alberto-costa/,143,8,PS,Lisboa
alberto-costa,Alberto Costa,Alberto Bernardes Costa,http://demo.cratica.org/media/img/deputados/143.jpg,gp_ps@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=143,http://pt.wikipedia.org/wiki/Alberto_Costa,"",http://demo.cratica.org/deputados/alberto-costa/,143,7,PS,Lisboa
alberto-costa,Alberto Costa,Alberto Bernardes Costa,http://demo.cratica.org/media/img/deputados/143.jpg,gp_ps@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=143,http://pt.wikipedia.org/wiki/Alberto_Costa,"",http://demo.cratica.org/deputados/alberto-costa/,143,6,PS,Santarém
alberto-martins,Alberto Martins,Alberto de Sousa Martins,http://demo.cratica.org/media/img/deputados/462.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=462,"","",http://demo.cratica.org/deputados/alberto-martins/,462,12,PS,Porto
alberto-martins,Alberto Martins,Alberto de Sousa Martins,http://demo.cratica.org/media/img/deputados/462.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=462,"","",http://demo.cratica.org/deputados/alberto-martins/,462,11,PS,Porto
alberto-martins,Alberto Martins,Alberto de Sousa Martins,http://demo.cratica.org/media/img/deputados/462.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=462,"","",http://demo.cratica.org/deputados/alberto-martins/,462,10,PS,Porto
alberto-martins,Alberto Martins,Alberto de Sousa Martins,http://demo.cratica.org/media/img/deputados/462.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=462,"","",http://demo.cratica.org/deputados/alberto-martins/,462,9,PS,Porto
alberto-martins,Alberto Martins,Alberto de Sousa Martins,http://demo.cratica.org/media/img/deputados/462.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=462,"","",http://demo.cratica.org/deputados/alberto-martins/,462,7,PS,Porto
alberto-martins,Alberto Martins,Alberto de Sousa Martins,http://demo.cratica.org/media/img/deputados/462.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=462,"","",http://demo.cratica.org/deputados/alberto-martins/,462,6,PS,Braga
altino-bessa,Altino Bessa,Altino Bernardo Lemos Bessa,http://demo.cratica.org/media/img/deputados/1048.jpg,abessa@cds.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1048,"","",http://demo.cratica.org/deputados/altino-bessa/,1048,12,CDS-PP,Braga
altino-bessa,Altino Bessa,Altino Bernardo Lemos Bessa,http://demo.cratica.org/media/img/deputados/1048.jpg,abessa@cds.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1048,"","",http://demo.cratica.org/deputados/altino-bessa/,1048,11,CDS-PP,Braga
altino-bessa,Altino Bessa,Altino Bernardo Lemos Bessa,http://demo.cratica.org/media/img/deputados/1048.jpg,abessa@cds.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1048,"","",http://demo.cratica.org/deputados/altino-bessa/,1048,10,CDS-PP,Braga
altino-bessa,Altino Bessa,Altino Bernardo Lemos Bessa,http://demo.cratica.org/media/img/deputados/1048.jpg,abessa@cds.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1048,"","",http://demo.cratica.org/deputados/altino-bessa/,1048,8,CDS-PP,Braga
amadeu-soares-albergaria,Amadeu Soares Albergaria,Amadeu Albertino Marques Soares Albergaria,http://demo.cratica.org/media/img/deputados/3919.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3919,"",http://twitter.com/aalbergaria,http://demo.cratica.org/deputados/amadeu-soares-albergaria/,3919,12,PSD,Aveiro
amadeu-soares-albergaria,Amadeu Soares Albergaria,Amadeu Albertino Marques Soares Albergaria,http://demo.cratica.org/media/img/deputados/3919.jpg,"",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3919,"",http://twitter.com/aalbergaria,http://demo.cratica.org/deputados/amadeu-soares-albergaria/,3919,11,PSD,Aveiro
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,Ana Catarina Veiga Santos Mendonça Mendes,http://demo.cratica.org/media/img/deputados/1212.jpg,catarina@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1212,"","",http://demo.cratica.org/deputados/ana-catarina-mendonca-mendes/,1212,12,PS,Setúbal
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,Ana Catarina Veiga Santos Mendonça Mendes,http://demo.cratica.org/media/img/deputados/1212.jpg,catarina@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1212,"","",http://demo.cratica.org/deputados/ana-catarina-mendonca-mendes/,1212,11,PS,Setúbal
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,Ana Catarina Veiga Santos Mendonça Mendes,http://demo.cratica.org/media/img/deputados/1212.jpg,catarina@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1212,"","",http://demo.cratica.org/deputados/ana-catarina-mendonca-mendes/,1212,10,PS,Setúbal
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,Ana Catarina Veiga Santos Mendonça Mendes,http://demo.cratica.org/media/img/deputados/1212.jpg,catarina@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1212,"","",http://demo.cratica.org/deputados/ana-catarina-mendonca-mendes/,1212,9,PS,Setúbal
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,Ana Catarina Veiga Santos Mendonça Mendes,http://demo.cratica.org/media/img/deputados/1212.jpg,catarina@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1212,"","",http://demo.cratica.org/deputados/ana-catarina-mendonca-mendes/,1212,8,PS,Setúbal
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,Ana Catarina Veiga Santos Mendonça Mendes,http://demo.cratica.org/media/img/deputados/1212.jpg,catarina@ps.parlamento.pt,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1212,"","",http://demo.cratica.org/deputados/ana-catarina-mendonca-mendes/,1212,7,PS,Setúbal
