uuid,female,male,other,skip,total
41f6d2ab-4627-48b4-b7ec-81f9115a87de,4,,,,4
ddfdbb92-5aa1-4f90-82ee-af34f382a015,,5,,,5
937e16ea-0f8e-4151-997b-d0c812d88359,,4,,,4
130f453b-b6d8-40ba-9452-5a726c766fcc,,4,,,4
bf6347d0-1866-4735-a1e6-1dbb35c1e0e0,,4,,,4
79ef8449-47fc-4e3a-97f8-d2b9a0da2d02,,4,,,4
5486d726-1bee-4210-8900-4eb3cb5a4705,,4,,,4
6d55e40c-af14-4033-8f7e-5dcdf15bc934,,4,,,4
be4af05e-b75e-4684-bc63-0258a6763764,,4,,,4
669c18d2-ecaa-4fac-b337-b382fef22922,,4,,,4
a8163d0c-197c-417b-a51c-a2510518344d,,4,,,4
ec0c6f42-471e-4edb-b911-a2e2f689a0c2,,4,,,4
9cd797c9-9d5f-46c1-a27e-08a1f2ae362b,,4,,,4
8010be64-6ae8-4fd8-917e-77fe4b657b71,,4,,,4
30a85e7f-ec66-4c6a-b799-59f954f03e15,,3,,,3
9676ba76-0077-448d-9459-d451930a2b29,,5,,,5
575eb845-c7d6-4cde-82f0-5a93c2ed5542,,4,,,4
98d5429a-21c9-4cff-855d-3895c54d72c2,,4,,,4
fc95fa2d-20f8-4b00-8f39-13e0ddf3e0bf,,4,,,4
9a4ec8fc-fb35-4776-89b0-c69e102052b7,,4,,,4
a4f8f4b6-8243-4cc5-b66c-d90ebee31587,,4,,,4
53668017-3b14-4431-8b2e-21d6b7c9da09,,4,,,4
322f95ab-9fb1-44f9-adfe-b93f8c7a0349,,4,,,4
167004fb-d4fa-4da8-a8ac-c81f88874a87,,6,,,6
60f7f892-bfdf-426c-8308-4c4821400452,,4,,,4
9cfd93e9-c0c7-4c93-87bc-8f84524caf9f,,3,,,3
2fbe252b-edb1-4d27-9c67-0298c4382c0e,,5,,,5
eae86f53-ec3d-4733-9b3f-aa66533d592e,1,4,,,5
223ffd35-d590-410a-8cfb-e0a9e7286d49,,4,,,4
9be89c87-d418-44d4-8d6c-137bda1a8ea3,5,,,,5
340aaf70-e20b-4f7c-b0f6-deb35ff17c2f,,4,,,4
dc8c2dde-5a69-4e36-8677-428f1fc4fc87,,4,,,4
cf69251a-4bc3-4bc8-929d-4c6db120d25d,,4,,,4
1111aa77-d19b-49e9-a1fa-c4868c3f9b38,,4,,,4
d5273fbd-94d1-4374-a661-0bab21f3072c,,4,,,4
