uuid,female,male,other,skip,total
8a798398-710e-4d69-b95f-53be55b71dca,1,,,,1
95b6e272-bdb4-4e56-8909-0762048df310,,1,,,1
1dee57c9-4872-44bf-aa9f-4abde5b9b91b,1,,,,1
13adddcd-b62d-4080-9fbd-fe5bebb1acea,,1,,,1
05cabc01-f62d-4493-a145-fa7e04ca3f03,,1,,,1
83501731-2f0d-4485-a11a-d5d33f5cff4e,,1,,,1
fadc01d8-f121-4103-93b3-965787f018ce,,1,,,1
44b28def-c01d-4f37-b957-f2ec111bb3f1,,1,,,1
0a163df8-33ff-4b14-b3a4-c51729e7fa8e,,1,,,1
a977daff-a537-4ff4-8b99-5955ff9a69b2,,1,,,1
ee7f0a90-5959-4d04-87b4-9ae9ed45f0aa,,1,,,1
154a18fe-0b7c-40e4-a59d-8a6a414ffa97,,1,,,1
