id,name,party,area_id,area,election,term
2000-1,Asim E. Martin,LP,2000-1,Basseterre East,2000,2000
2000-10,Vance Amory,CCM,2000-10,St. George's,2000,2000
2000-11,Patrice Nisbett,NRP,2000-11,St. Thomas's and St. James's,2000,2000
2000-2,Dwyer Astaphan,LP,2000-2,Basseterre Central,2000,2000
2000-3,Sam Condor,LP,2000-3,Basseterre West,2000,2000
2000-4,Rupert Herbert,LP,2000-4,Half Way Tree,2000,2000
2000-5,Jacinth Henry-Martin,LP,2000-5,St. Anne Parish,2000,2000
2000-6,Dr. Denzil Douglas,LP,2000-6,Newton Ground-Harris,2000,2000
2000-7,Timothy Harris,LP,2000-7,Belle Vue-Ottley's,2000,2000
2000-8,Cedric R. Liburd,LP,2000-8,Ottley's-St. Peter's,2000,2000
2000-9,Malcolm Guishard,CCM,2000-9,St. John's and St. Paul's,2000,2000
