uuid,female,male,other,skip,total
1f90b1ae-21cf-459b-b741-39b6f6e5152e,0,1,0,0,1
32936582-4834-4e44-b5f1-c60117f6bf0a,0,1,0,0,1
40ed4cd7-79b1-4789-826e-45ace6197ac8,0,1,0,0,1
47925525-cf78-40bf-b942-42e113c6edb4,0,1,0,0,1
47ed3128-6f1a-421a-91e9-177a2cff4497,0,1,0,0,1
4930e794-7e60-4616-beaf-2f63c8ad2494,0,1,0,0,1
4c1db7da-4a6f-4349-aea3-9e0f2581c317,0,1,0,0,1
5db70689-04a6-49ef-978d-0aad7d9fe9ef,0,1,0,0,1
66298001-64e9-4e50-a38a-65082a98de62,0,1,0,0,1
952057e3-c677-47fb-8dd9-f6ce13363a14,1,0,0,0,1
98e7a3bc-c3fd-4cdd-beb0-cfe350cce7c8,0,1,0,0,1
9cd1cae9-8a41-4014-b909-dad5aeac9c56,0,1,0,0,1
bf1a836c-6c61-419b-a57d-2e21ae296a9c,0,1,0,0,1
c5086523-89ef-443d-a7b4-083a9f13c5d6,0,1,0,0,1
d43d8fbe-5eb4-42aa-b754-3e5affd552e7,0,1,0,0,1
