id,name,position,start_date,end_date
a6c20249-f3c0-4d26-83ab-11584fbabae8,ALEKSANDAR VUCIC,Minister of Defense,2012-07-27,2013-09-02
9036af45-72bd-4e5a-9d98-8cef75f20c5c,DRAGAN MARKOVIC,Director of the Security Information Agency,2013-09-03,2013-10-25
5f341a07-da50-45c9-ba56-f3ad2f540cdc,DRAGAN SUTANOVAC,Minister of Defense,2007-05-15,2012-07-27
9a38c6d2-9c43-47cd-991d-5a1ba2e9ae89,DUSAN PETROVIC,Minister of Justice of Serbia,2007-05-15,2008-07-07
efabdf37-1e80-46cd-8d7b-9a41ae6496d4,MAJA GOJKOVIC,mayor of Novi Sad,2004-10-05,2008-06-16
efabdf37-1e80-46cd-8d7b-9a41ae6496d4,MAJA GOJKOVIC,President of the National Assembly of Serbia,2014-04-23,
a7d39108-ff97-4f64-b505-10abf7b05e26,SLAVICA DJUKIC DEJANOVIC,President of Serbia,2012-04-05,2012-05-31
a7d39108-ff97-4f64-b505-10abf7b05e26,SLAVICA DJUKIC DEJANOVIC,President of the National Assembly of Serbia,2008-06-25,2012-05-31
94e54c47-c67f-443d-ba59-d9166b52e2dd,SNEZANA MALOVIC,Minister of Justice of Serbia,2008-07-07,2012-07-27
19eccb50-63dc-4044-9270-a54d4f3141ec,ZORAN ZIVKOVIC,Ministry of the Interior,,
