id,name__sk,name__eo,name__cs,name,wikipedia__cs,wikipedia__sk,wikipedia__skwikiquote,gender,given_name,original_wikiname,name__en,name__de,name__ru,name__pl,wikipedia__en,wikipedia__pl,birth_date,name__hu,name__es,name__fr,name__nl,name__be_tarask,name__nb,name__da,name__nn,name__sv,wikipedia__be_x_old,wikipedia__commons,wikipedia__de,wikipedia__hu,wikipedia__ru,wikipedia__zh,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__freebase,identifier__NKC,name__ar,name__it,wikipedia__ar,wikipedia__fr,wikipedia__it,identifier__BNF,family_name,name__be,name__he,name__ca,name__fi,name__uk,name__ga,wikipedia__be,wikipedia__ca,wikipedia__eo,wikipedia__es,wikipedia__fi,wikipedia__ga,wikipedia__he,wikipedia__nl,wikipedia__sv,wikipedia__uk,identifier__EuroparlMEP,name__eu,name__ko,name__oc,name__lv,name__gl,name__id,name__ja,name__pt,name__tr,name__rue,name__io,name__bg,name__sr,name__ka,name__hr,wikipedia__bg,wikipedia__cswikiquote,wikipedia__gl,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__lv,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__rue,wikipedia__sr,wikipedia__tr,website,name__lb,name__zh,name__ta,name__yo,name__ms,name__et,name__el,name__mr,name__pt_br,name__vi,name__ie,name__fa,name__lmo,name__mk,name__la,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__huwikiquote,wikipedia__ie,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__mr,wikipedia__ms,wikipedia__plwikiquote,wikipedia__ta,wikipedia__ukwikiquote,wikipedia__vi,wikipedia__yo,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__co,name__cy,name__fur,name__gd,name__gsw,name__is,name__li,name__lij,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__ro,name__sc,name__scn,name__sco,name__sl,name__sq,name__vec,name__vls,name__wa,name__tt,name__de_ch,name__en_ca,name__en_gb,wikipedia__itwikiquote,identifier__IMDB,identifier__AlloCine,identifier__allmovie
Q11714338,Ivan Štefanec,,,Ivan Štefanec,,Ivan Štefanec,,male,Ivan,Ivan Štefanec,Ivan Štefanec,Ivan Štefanec,,Ivan Štefanec,Ivan Štefanec,Ivan Štefanec,1961-09-30,,,Ivan Štefanec,,,,,,,,,Ivan Štefanec,,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Ivan_Štefanec.jpg,,,,,,,,,,,Ivan Štefanec,,,,,,,,Іван Штефанець,,,,,,,,,,,Іван Штефанець,124929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11719711,Jana Žitňanská,,Jana Žitňanská,Jana Žitňanská,Jana Žitňanská,Jana Žitňanská,,female,Jana,Jana Žitňanská,Jana Žitňanská,Jana Žitňanská,,Jana Žitňanská,,Jana Žitňanská,1974-05-14,,,Jana Žitňanská,,,,,,,,Category:Jana Žitňanská,Jana Žitňanská,,,,https://upload.wikimedia.org/wikipedia/commons/1/17/Robert_Bujna_Jana_Zitnanska_inauguracia_starostu_a_poslancov_obce_Kuchyna_01_crop.jpg,,,,,,,,,,,Jana Žitňanská,,,,,,,,,,,,,,,,,,,,124901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11728689,Jozef Buček,,,Jozef Buček,,Jozef Buček,,male,Jozef,Jozef Buček,,,,Jozef Buček,,Jozef Buček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11728697,Jozef Viskupič,,,Jozef Viskupič,,Jozef Viskupič,,male,Jozef,Jozef Viskupič,,,,Jozef Viskupič,,Jozef Viskupič,1976-02-08,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/39/Jozef-Viskupic.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11770677,Martin Fecko,,,Martin Fecko,,Martin Fecko,,male,Martin,Martin Fecko,,,,Martin Fecko,,Martin Fecko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11774290,Darina Gabániová,,Darina Gabániová,Darina Gabániová,Darina Gabániová,Darina Gabániová,,female,Darina,Darina Gabániová,,,,,,,1955-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11781702,Miroslav Beblavý,,,Miroslav Beblavý,,Miroslav Beblavý,,male,Miroslav,Miroslav Beblavý,Miroslav Beblavý,Miroslav Beblavý,,Miroslav Beblavý,,Miroslav Beblavý,1977-01-06,,Miroslav Beblavý,Miroslav Beblavý,Miroslav Beblavý,,,,,,,,,,,,,,34097930,,,123324076,,,,Miroslav Beblavý,,,,14499962g,,,,,,,,,,,,,,,,,,,,,,,,,,Miroslav Beblavý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11785116,Monika Gibalová,,,Monika Gibalová,,Monika Gibalová,,female,Monika,Monika Gibalová,,,,Monika Gibalová,,Monika Gibalová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11815889,Peter Muránsky,,,Peter Muránsky,,Peter Muránsky,Peter Muránsky,male,Peter,Peter Muránsky,,,,Peter Muránsky,,Peter Muránsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11815897,Peter Osuský,,,Peter Osuský,,Peter Osuský,,male,Peter,Peter Osuský,,,,Peter Osuský,,Peter Osuský,1953-10-11,,,,,,,,,,,Category:Peter Osuský,,,,,,,85664326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
