uuid,twitter
003496de-ed57-4d0d-bb43-e6f9644f76af,ANJABAHZIBERT
8c5bb70e-26e4-48df-b9e3-156f573e6d13,b_podkrajsek
72f4c9f6-622e-4a03-9a38-f74c439a106c,JasnaMurgel
7932c11b-6ae5-4416-85d1-408d3f358612,Matej_T_Vatovec
8a0a080b-e5e0-4e5d-b340-90662a09d0eb,ErikaDekleva
f04e3896-aca9-4199-9d3d-0366b070df99,jan_skoberne
b82a6b6f-1a7d-46d4-b2ea-838a81312033,JaniModern
9adf3fbe-6d96-4513-8481-4a04ebd56434,SMC_JanjaSluga
8fe33fe6-146b-444d-b205-faedfa821bd1,JankoVeber
8ed65470-cbe3-4371-86c7-fe4454553538,jelka_godec
8cb444a0-9d05-47c4-a29f-fade2c998446,jozefhorvat
987ff118-aa06-4074-b500-0b02af109531,kizidor
4157e900-9289-49d5-ac94-b3c4ca554b29,aleksande
e7eb5b01-8378-4b35-a8bb-ae398166b738,AnzeLog
19751c40-4c69-45c4-9f87-c6c6343da258,BMursic
ba8af9d6-a674-4b72-bec3-e8ae6ca882ec,matjanemec
0d295a47-c43d-4536-9512-1a23829daf3b,brinovseknada
a6f2e1da-27a6-4c35-b4d1-68eac9455b93,lepsimenko
d2af444a-2d55-490e-bc1e-0f9c6255f3bb,TomazLisec
4efef6b2-3e10-46fe-a881-5027cc095621,ZanMahnic
