uuid,female,male,other,skip,total
65348c4e-46b8-4c9c-b188-171ca36c50f3,,2,,,2
6d9dfb0f-7700-43cc-a8b1-078116d86604,,2,,,2
b20cffc3-5083-4c36-8e8c-d892ced25caf,,2,,,2
edee3a31-19a1-4976-bd2a-9b2f20a09b0a,,2,,,2
a49f504e-4e6e-4fbb-ad0f-c39c4368b169,,1,,,1
ce55d51d-2cc3-47d8-b8dc-9ca8811b0732,,2,,,2
44f27988-e7e5-4859-a4d1-e4bb3b30866e,,2,,,2
e2c77a7f-d159-47f2-afae-0bac54322c88,,1,,,1
df19b493-385c-43f8-b6d7-524715df4d72,,2,,,2
7f0b8bfa-9f48-4baa-a8b3-4683c83b95a4,,1,,,1
"tanangada,_hon._jimson_fiau",,2,,,2
8ba895c2-3fe8-4fd9-bb10-80a7c4beaf47,,2,,,2
9e2d4c30-8abf-44fe-918e-2927d5bb13b2,,2,,,2
b40b3b27-205d-46d5-958b-114aa58701d3,,2,,,2
57bee211-b367-4a39-af87-f7ae39abd7cb,,1,,,1
59fa0361-139b-442e-a93c-2b848edb1410,,2,,,2
"manu’ari,_hon._derick_rawcliff",,1,,,1
b09769a7-f6c2-4a10-b193-d3e7b14564bb,,2,,,2
dc97fb4e-9248-4e79-81e2-1095437863e2,,2,,,2
cccb0dbe-31d3-43a3-a60f-2d50870e5c63,,2,,,2
72fa50c6-357c-411a-82c5-98514e6c884b,,2,,,2
f472cc30-8acb-4da1-8ba6-33d09d6bca53,,2,,,2
28870b0e-2dc6-4978-acde-6d41b5fc09a8,,2,,,2
"marau,_hon._william_bradford",,2,,,2
3704d7dd-4f87-486d-9c20-66de212a2a40,,2,,,2
99b95ddf-33f5-476f-8ea3-75e1b0a1b76a,,2,,,2
3d13c6b9-0e4a-4559-b6ee-aa8851ca3283,,2,,,2
3b3855de-98bc-4668-88cb-78949927a00f,,1,,,1
0b66ee8b-a00a-424f-b6ee-b50f893f7921,,2,,,2
1eb5f7cc-21e8-49df-8e02-16087bd51ca5,,2,,,2
5ba2c2c5-ce9e-4570-ab03-3b381c448f60,,1,,,1
e390d1d1-ab91-430a-a8f0-98e8443ba39f,,1,,,1
1dca87de-2976-4ae6-bcd8-450df449b4d0,,2,,,2
ef6cb7f9-3d12-4885-aa62-20d2a149106e,,2,,,2
"parapolo,_hon._bartholomew",,2,,,2
1250f7bf-08be-49c2-8091-983832cbd5e0,,2,,,2
"togamana,_hon._dr._culwick",,1,,1,2
d4bc8672-b9d3-4e63-ab06-300f2688d7a9,,2,,,2
58f00bb9-1bb0-4a0c-80f5-a2f55a15cc57,,2,,,2
ea638737-1e48-47de-8acf-b6f30e96592b,,2,,,2
7491a8df-abe2-4376-af68-1e4d48038896,,2,,,2
497778df-eee8-4d40-9869-d60c2a0cca46,,2,,,2
5e9b7fce-343b-4870-b0f7-83d4abd0158a,,1,,,1
ad43cf2d-63d6-4552-b523-8a8a943ec72f,,1,,,1
b0c1821e-84e6-46d8-83c2-4e86ddf2171d,,2,,,2
"soriacomua,_hon._freda_a.b._tuki",2,,,,2
bradley_tovosia,,1,,1,2
milner_tozaka,,1,,1,2
matthew_c_wale,,1,,,1
namson_tran,,1,,,1
