id,party_id,party,constituency,birth_date,gender,name,family_name,given_name,sort_name,website,email,facebook,twitter,linkedin,image,source,start_date,end_date,term,substitute,death_date
0937572393290,S,Socialdemokraterna,"",1918,female,Tullia von Sydow,von Sydow,Tullia,Tullia,http://www.socialdemokraterna.se/tulliavonsydow,"","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0937572393290_max.jpg,http://data.riksdagen.se/person/0937572393290,1999-02-03,2002-09-30,1998,,
0937572393290,S,Socialdemokraterna,"",1918,female,Tullia von Sydow,von Sydow,Tullia,Tullia,http://www.socialdemokraterna.se/tulliavonsydow,"","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0937572393290_max.jpg,http://data.riksdagen.se/person/0937572393290,1998-10-05,1999-02-02,1998,Pierre Schori,
0308885293103,KD,Kristdemokraterna,"",1926,female,Maj-Britt Wallhorn,Wallhorn,Maj-Britt,Maj-Britt,"","","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0308885293103_max.jpg,http://data.riksdagen.se/person/0308885293103,1998-10-05,1999-10-15,1998,,
0200426688007,M,Moderata samlingspartiet,"",1927,female,Elisabeth Fleetwood,Fleetwood,Elisabeth,Elisabeth,http://www.moderat.se/rdled/e_fleetw.htm,"","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0200426688007_max.jpg,http://data.riksdagen.se/person/0200426688007,1998-10-05,2002-09-30,1998,,
0200426688007,M,Moderata samlingspartiet,"",1927,female,Elisabeth Fleetwood,Fleetwood,Elisabeth,Elisabeth,http://www.moderat.se/rdled/e_fleetw.htm,"","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0200426688007_max.jpg,http://data.riksdagen.se/person/0200426688007,1994-10-03,1998-10-05,1994,,
0275356156309,M,Moderata samlingspartiet,"",1928,male,Arne Andersson,Andersson,Arne,Arne,"","","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0275356156309_max.jpg,http://data.riksdagen.se/person/0275356156309,1994-10-03,1998-10-05,1994,,
0711876203701,M,Moderata samlingspartiet,"",1928,male,Hans Hjortzberg-Nordlund,Hjortzberg-Nordlund,Hans,Hans,http://www.moderat.se/rdled/h_hjortz.htm,"","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0711876203701_max.jpg,http://data.riksdagen.se/person/0711876203701,1998-10-05,2002-09-30,1998,,
0711876203701,M,Moderata samlingspartiet,"",1928,male,Hans Hjortzberg-Nordlund,Hjortzberg-Nordlund,Hans,Hans,http://www.moderat.se/rdled/h_hjortz.htm,"","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0711876203701_max.jpg,http://data.riksdagen.se/person/0711876203701,1994-10-03,1998-10-05,1994,,
0136937107804,M,Moderata samlingspartiet,"",1929,male,Stig Rindborg,Rindborg,Stig,Stig,http://www.moderat.se/rdled/s_rindbo.htm,"","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0136937107804_max.jpg,http://data.riksdagen.se/person/0136937107804,1998-10-05,2002-09-30,1998,,
0136937107804,M,Moderata samlingspartiet,"",1929,male,Stig Rindborg,Rindborg,Stig,Stig,http://www.moderat.se/rdled/s_rindbo.htm,"","","","",http://data.riksdagen.se/filarkiv/bilder/ledamot/0136937107804_max.jpg,http://data.riksdagen.se/person/0136937107804,1994-10-03,1998-10-05,1994,,
