id,name__sv,name__it,name__fr,name__en,name,wikipedia__sv,gender,birth_date,given_name,identifier__Riksdagen,original_wikiname,name__nl,name__de,wikipedia__commons,wikipedia__en,image,name__nb,name__uk,name__da,name__nn,name__fi,name__pl,name__pt,name__ru,wikipedia__da,wikipedia__fi,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__uk,identifier__VIAF,identifier__SELIBR,name__es,wikipedia__de,identifier__freebase,name__sco,name__id,wikipedia__fr,wikipedia__id,wikipedia__sco,identifier__ISNI,identifier__LCAuth,family_name,name__mg,wikipedia__mg,name__af,name__an,name__ar,name__az,name__be,name__bg,name__bn,name__br,name__bs,name__ca,name__cs,name__de_ch,name__el,name__en_ca,name__en_gb,name__eo,name__et,name__gl,name__he,name__hi,name__hu,name__io,name__is,name__ja,name__ka,name__ko,name__la,name__lb,name__lt,name__lv,name__mn,name__mr,name__ms,name__oc,name__pt_br,name__qu,name__se,name__sq,name__sr,name__sw,name__tr,name__vi,name__yo,name__zh,name__hr,name__fa,name__fo,wikipedia__af,wikipedia__an,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ca,wikipedia__cs,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fiwikiquote,wikipedia__fo,wikipedia__frwikiquote,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__qu,wikipedia__se,wikipedia__sq,wikipedia__sr,wikipedia__svwikiquote,wikipedia__sw,wikipedia__tr,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__GND,identifier__SUDOC,identifier__IMDB,identifier__Munzinger,identifier__parlement,name__be_tarask,wikipedia__be_x_old,website,name__ro,wikipedia__ro,identifier__EuroparlMEP,name__nds,name__vmf,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,name__fit,name__ta,name__sh,name__mk,name__hy,name__ur,wikipedia__cswikiquote,wikipedia__hy,wikipedia__sh,wikipedia__ta,wikipedia__ur,facebook,name__gsw,twitter,identifier__BIBSYS,identifier__BNF,name__ie,wikipedia__ie,name__ast,name__bar,name__co,name__cy,name__eu,name__fur,name__ga,name__gd,name__li,name__lij,name__lmo,name__nap,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sk,name__sl,name__vec,name__vls,name__wa,identifier__FAST,identifier__PACE,identifier__NTA,name__th,wikipedia__th,identifier__GTAA,death_date,identifier__OLID,wikipedia__nds,wikipedia__etwikiquote,wikipedia__bswikiquote,wikipedia__ga,wikipedia__nowikiquote,wikipedia__svwikinews,identifier__NNDB,name__sah,wikipedia__sah,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,wikipedia__sk
Q271230,Åsa Romson,,Åsa Romson,Åsa Romson,Åsa Romson,Åsa Romson,female,1972-03-22,Åsa,0951854268017,Åsa Romson,Åsa Romson,Åsa Romson,,Åsa Romson,https://upload.wikimedia.org/wikipedia/commons/8/83/Asa_Romson.1c447_3181.jpg,Åsa Romson,,Åsa Romson,Åsa Romson,Åsa Romson,Åsa Romson,Åsa Romson,,Åsa Romson,Åsa Romson,Åsa Romson,Åsa Romson,Åsa Romson,,Åsa Romson,,232708554,,Åsa Romson,Åsa Romson,/m/0gkzzlk,,Åsa Romson,Åsa Romson,Åsa Romson,,,,Q18177004,,,,,,,,,আসা রোমসন,,,,,,,,,,,,אסא רומסון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ব্যবহারকারী:MHP07/আসা রোমসন,,,,,,,,,,,,,,,אוסה רומסון,,,,,,,,,,,,,,,,,Åsa Romson,,,,,,,,,,,,,,,,,,,,http://www.asaromson.se/,,,,,,,,,,Åsa Romson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4750415,Ana Maria Narti,,Ana Maria Narti,Ana Maria Narti,Ana Maria Narti,Ana Maria Narti,female,1936,Ana,0283009944701,Ana Maria Narti,Ana Maria Narti,Ana Maria Narti,,Ana Maria Narti,,,,,,,,,,,,,,,,,,53973096,,,,,,,,,,0000 0000 5335 8832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3375050,Anders Ygeman,,Anders Ygeman,Anders Ygeman,Anders Ygeman,Anders Ygeman,male,1970-06-17,Anders,0744993950910,Anders Ygeman,Anders Ygeman,Anders Ygeman,Category:Anders Ygeman,Anders Ygeman,https://upload.wikimedia.org/wikipedia/commons/0/00/Socialdemokrat.anders_ygeman_1c323_8147.jpg,Anders Ygeman,,,,Anders Ygeman,Anders Ygeman,Anders Ygeman,,,,Anders Ygeman,Anders Ygeman,Anders Ygeman,,,,,,Anders Ygeman,,,,,Anders Ygeman,,,,,,,,,,,,,,,,,,,,,,,,Anders Ygeman,,,,Anders Ygeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anders Ygeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4765556,Anita Johansson,,Anita Johansson,Anita Johansson,Anita Johansson,Anita Johansson,female,1944,Anita,0193303720505,Anita Johansson,Anita Johansson,Anita Johansson,Category:Anita Johansson,Anita Johansson (politician),"https://upload.wikimedia.org/wikipedia/commons/6/61/Anita_Johansson,_viceordforande_Sveriges_delegation_(Bilden_ar_tagen_vid_Nordiska_radets_session_i_Oslo,_2003).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4767227,Anna Lilliehöök,,Anna Lilliehöök,Anna Lilliehöök,Anna Lilliehöök,Anna Lilliehöök,female,1947,Anna,08644719105,Anna Lilliehöök,Anna Lilliehöök,Anna Lilliehöök,,Anna Lilliehöök,,,,,,,,,,,,,,,,,,,,,,,Anna Lilliehöök,,,,Anna Lilliehöök,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q297850,Beatrice Ask,,Beatrice Ask,Beatrice Ask,Beatrice Ask,Beatrice Ask,female,1956-04-20,Beatrice,0262017901513,Beatrice Ask,Beatrice Ask,Beatrice Ask,,Beatrice Ask,https://upload.wikimedia.org/wikipedia/commons/3/34/Balticfreedom_1c558_6357.Beatrice_Ask.jpg,Beatrice Ask,,Beatrice Ask,Beatrice Ask,Beatrice Ask,Beatrice Ask,Beatrice Ask,,Beatrice Ask,Beatrice Ask,Beatrice Ask,Beatrice Ask,Beatrice Ask,,,,28428793,,Beatrice Ask,Beatrice Ask,/m/093ptw,Beatrice Ask,Beatrice Ask,Beatrice Ask,Beatrice Ask,Beatrice Ask,0000 0000 5106 5964,n82160018,,,,,,,,,,,,,,,,,,,,,,,,Beatrice Ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q429001,Birgitta Ohlsson,,Birgitta Ohlsson,Birgitta Ohlsson,Birgitta Ohlsson,Birgitta Ohlsson,female,1975-07-20,Birgitta,0404025497421,Birgitta Ohlsson,Birgitta Ohlsson,Birgitta Ohlsson,,Birgitta Ohlsson,https://upload.wikimedia.org/wikipedia/commons/3/36/Birgitta_Ohlsson.EU-dagen2011_1c379_6285.jpg,Birgitta Ohlsson,Биргитта Олссон,Birgitta Ohlsson,Birgitta Ohlsson,,Birgitta Ohlsson,Birgitta Ohlsson,,,,,Birgitta Ohlsson,Birgitta Ohlsson,,,Биргитта Олссон,,,Birgitta Ohlsson,Birgitta Ohlsson,/m/0b43bb,,Birgitta Ohlsson,Birgitta Ohlsson,Birgitta Ohlsson,,,,,,,,,,,,,,,,,,,,,,,,,,,Birgitta Ohlsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4919729,Björn Hamilton,,Björn Hamilton,Björn Hamilton,Björn Hamilton,Björn Hamilton,male,1945-03-28,Björn,0319703582208,Björn Hamilton,Björn Hamilton,Björn Hamilton,,Björn Hamilton,,Björn Hamilton,,Björn Hamilton,Björn Hamilton,,,,,,,,,,,,,,,Björn Hamilton,,,,,,,,,,,Björn Hamilton,Björn Hamilton,,,,,,,,,,,,,,Björn Hamilton,Björn Hamilton,,,,,,Björn Hamilton,,,,,,,,,,,,,,,,,,,,Björn Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Björn Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q879773,Björn von Sydow,,Björn von Sydow,Björn von Sydow,Björn von Sydow,Björn von Sydow,male,1945-11-26,Björn,0787533297400,Björn von Sydow,Björn von Sydow,Björn von Sydow,Björn von Sydow,Björn von Sydow,"https://upload.wikimedia.org/wikipedia/commons/5/5f/Bjorn_von_Sydow,_talman_Sveriges_riksdag.jpg",Björn von Sydow,,,,Björn von Sydow,Björn von Sydow,,,,Björn von Sydow,Björn von Sydow,Björn von Sydow,,,,,6212698,,Björn von Sydow,Björn von Sydow,/m/03lbwt,,,Björn von Sydow,,,0000 0000 8420 5599,,,,,,,,,,,,,,,,,,,,,Björn von Sydow,,,,Björn von Sydow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Björn von Sydow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4931118,Bo Könberg,,Bo Könberg,Bo Könberg,Bo Könberg,Bo Könberg,male,1945-10-14,Bo,0384833975200,Bo Könberg,Bo Könberg,Bo Könberg,Category:Bo Könberg,Bo Könberg,https://upload.wikimedia.org/wikipedia/commons/6/68/Landshövding_i_Södermanlands_län.jpg,Bo Könberg,,Bo Könberg,Bo Könberg,,,,,,,,,,,,,39349053,,Bo Könberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bo Könberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
