id,name__en,name__zh,name,wikipedia__commons,wikipedia__zh,original_wikiname,gender,birth_date,image,name__zh_tw,name__nan,wikipedia__zh_min_nan,family_name,name__fr,name__es,name__zh_hant,name__hu,name__nl,wikipedia__en,identifier__VIAF,identifier__NCL,name__ru,identifier__ISNI,identifier__LCAuth,identifier__NLA,wikipedia__es,wikipedia__zhwikiquote,name__ja,wikipedia__ja,facebook,name__zh_hans,name__zh_hk,name__id,name__vi,name__de,name__nds,name__vmf,name__en_ca,name__en_gb,name__ko,name__pl,wikipedia__de,wikipedia__id,wikipedia__pl,wikipedia__vi,identifier__freebase,name__oc,name__it,wikipedia__fr,given_name,wikipedia__ko,name__tr,identifier__BNF,identifier__SUDOC,identifier__IMDB,wikipedia__it,electoral_district,name__yue,wikipedia__ru,wikipedia__zh_yue,name__wuu,wikipedia__enwikiquote,wikipedia__wuu,name__zh_cn,name__zh_mo,name__zh_my,name__zh_sg,name__sv,name__et,wikipedia__et,wikipedia__sv,wikipedia__tr,identifier__FAST,identifier__MusicBrainz,name__cdo,wikipedia__cdo,name__gan_hans,name__gan_hant,name__gan,wikipedia__gan,name__ca,name__pt,name__nb,wikipedia__ca,wikipedia__no,wikipedia__pt
Q10919979,,"呂玉玲","呂玉玲","Category:Lui Yu-lin","呂玉玲","呂玉玲",,1961-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10920153,,"周倪安","周倪安","Category:Chou Ni-an","周倪安","周倪安",female,1972-10-07,https://upload.wikimedia.org/wikipedia/commons/3/32/Chou_Ni-an.jpg,,,,Zhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11091487,,"曾巨威","曾巨威","Category:Tseng Chu-wei","曾巨威","曾巨威",,1951-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15899237,"Huang Kuo-chang","黃國昌","黃國昌","Category:Huang Kuo-chang","黃國昌","Huang Kuo-chang",male,1973-08-19,,,"N̂g Kok-chhiong","N̂g Kok-chhiong",,"Huang Kuo-chang",,,,,"Huang Kuo-chang",122363370,,,"0000 0000 8074 9388",n2010039329,,,,"黄国昌","黄国昌",,,,,,"Huang Kuo-chang",,,,,,,"Huang Kuo-chang",,,,,,,"Huang Kuo-chang",,,,,18104501X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15901623,,"蔡培慧","蔡培慧","Category:Tsai Pei-hui","蔡培慧","蔡培慧",,1971,,,,,Cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15903471,,"立法院跨黨派國際人權促進會","立法院跨黨派國際人權促進會",,"立法院跨黨派國際人權促進會","立法院跨黨派國際人權促進會",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15909081,"Wellington Koo","顧立雄","顧立雄","Category:Wellington Koo (Taiwan)","顧立雄","Wellington Koo (Taiwan)",male,1958-10-31,https://upload.wikimedia.org/wikipedia/commons/9/99/Taiwanese_Lawyer_Gu_Li-syong_from_VOA.jpg,,"Kò͘ Li̍p-hiông","Kò͘ Li̍p-hiông",,,,,,,"Wellington Koo (Taiwan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15911945,,"葉津鈴","葉津鈴","Category:Yeh Chin-ling","葉津鈴","葉津鈴",female,1947-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15920021,"Chiang Wan-an","蔣萬安","蔣萬安","Category:Jiang Wan-an","蔣萬安","Chiang Wan-an",male,1978-12-26,https://upload.wikimedia.org/wikipedia/commons/0/01/Wan-An_Jiang_Portrait_20150613.jpg,,"Chiúⁿ Bān-an","Chiúⁿ Bān-an",Jiang,,,,,"Chiang Wan-an","Chiang Wan-an",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15930216,,"陳怡潔","陳怡潔","Category:Chen Yi-chieh","陳怡潔","陳怡潔",,1979-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15931826,,"詹滿容","詹滿容",,"詹滿容","詹滿容",,1956-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15933742,,"蘇清泉","蘇清泉",,"蘇清泉","蘇清泉",male,1957-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
