uuid,female,male,other,skip,total
08f44270-f418-4df7-8176-04c29bc9e6a2,0,1,0,0,1
0f7546fb-e953-4f29-b523-501632df1b07,0,1,0,0,1
349e3ca2-92f8-4bf9-8b75-92e0f92fa177,0,1,0,0,1
3c8b06e2-67b2-4d3a-9c29-e45dfd926e05,0,1,0,0,1
3d0e6364-06a7-454c-9393-b3ecd312f83d,0,1,0,0,1
3f49412c-65c7-4922-bb85-4123367f7d61,0,1,0,0,1
43b171bc-c4be-4a38-a931-20ee237f58ce,0,1,0,0,1
50801654-3e27-4595-9fe7-d35aed0684d1,0,1,0,0,1
5aff8c03-aaee-4c78-b5d8-8cd6c06b5664,0,1,0,0,1
7269a295-0458-43a6-a81e-7310e6cb16ea,0,1,0,0,1
76ffadc5-ff93-4fbc-95d7-9dfef19f4409,0,1,0,0,1
7a4e3885-d197-4c50-9a93-1c3912d8d6a9,0,1,0,0,1
81052422-6e1a-46a8-92e2-5815df7a9796,0,1,0,0,1
a8ac92e7-4887-4ed7-b608-062274cfde6d,0,1,0,0,1
ab1456fe-78b7-4d3c-bdf7-5a46e6e213c0,0,1,0,0,1
afbf062f-c9af-4ac2-80c7-0ad15f39bc61,0,1,0,0,1
b4d50232-f7c7-4246-a2e0-cf2f9c5e7769,0,1,0,0,1
c1ec02d6-edfd-4f5b-b228-452d2d0b2066,0,1,0,0,1
d1020d89-2415-4103-b2cb-52639ad3350f,0,1,0,0,1
d9c3c92e-0272-4bb6-a1a9-00db0d5b883a,0,1,0,0,1
eddb483b-215d-44e4-b4a7-fda5bc72adb3,0,1,0,0,1
f347d0c4-d290-423b-b60a-9a8c306652c4,0,1,0,0,1
