uuid,female,male,other,skip,total
0ed78d48-195a-4b42-a0c2-08b1cc68dcb1,0,2,0,0,2
11fde7ed-0a04-49ec-a705-8f264376a06d,0,2,0,0,2
1b35b28c-9f2a-4622-b468-7bff933ecc38,0,2,0,0,2
1e847a4b-1399-4ecd-9b9e-e9c419372f2b,0,2,0,0,2
20214950-36d7-430d-8318-5a2e004d4e47,2,0,0,0,2
226683d7-91fe-4d49-9a8e-7dad75bba34e,2,0,0,0,2
2cc41ceb-3c38-411b-847b-a87716b56502,2,0,0,0,2
30f14c6d-1bbd-4495-9e2f-5ebb22043aae,2,0,0,0,2
352e1cb3-398e-42dd-bbbd-6908444ce993,0,2,0,0,2
3d9051b6-190f-4fc9-93fe-29fbbc55b52a,0,2,0,0,2
467d9278-c881-420c-bf1f-44b0239346b0,2,0,0,0,2
46f694f6-da8a-4f55-833a-1ab17b3ad7c3,0,2,0,0,2
488ae86c-ff3a-4300-aa4a-a7f67d0708f4,0,2,0,0,2
4f37ea91-9811-479d-b8d3-8c1268109050,0,2,0,0,2
521081ac-ffce-47d3-ace9-f53123433daa,2,0,0,0,2
65fc3bfe-f83d-4d6a-ab08-414d8f67788a,0,2,0,0,2
66d64db4-28ab-4a33-8caf-e86ae67df59b,2,0,0,0,2
6b4a2946-2cb9-4777-93e8-f539861b8436,0,2,0,0,2
71c048a0-23d5-4ae6-a8bf-0bb563b83ff3,0,2,0,0,2
72583668-5cf7-4344-b810-49059ce8bcbf,0,2,0,0,2
79331cb5-aafa-451d-8f28-52f18b6ee9f8,0,2,0,0,2
85f16bbb-00cd-4672-b4a8-a4c6c0ca6551,0,2,0,0,2
88ba286b-4e06-4db3-abb5-c337922f64d2,0,2,0,0,2
8acbf837-b3f9-4e6b-890b-5bd6eea0a1c3,0,2,0,0,2
8b72ab4c-2037-49cd-b940-15edc9aa08d6,0,2,0,0,2
8d9a2c4f-ef15-4a28-862e-e39646b16543,0,2,0,0,2
8ff12c33-6ea1-4db7-9f66-9a94b62dabd2,0,2,0,0,2
928d7c5f-ad56-4d20-809d-2902353ff0a2,0,2,0,0,2
9e1a2c3a-fb91-4bcb-b504-132dc7b3ee8f,2,0,0,0,2
a8b2e325-9f1a-4c97-bb60-f9d4973c43bc,2,0,0,0,2
a936126b-dd94-4131-8625-64a93976185f,0,2,0,0,2
abadf71d-527f-4517-9e91-993f62395089,0,2,0,0,2
b7263823-11b1-46c0-9468-08aade970c52,2,0,0,0,2
b9311e2b-b4ea-47cf-a555-ce250972dd7e,0,2,0,0,2
c8631fef-6624-4a38-9d11-27fa69532204,2,0,0,0,2
ceca4d5e-240c-45b4-b100-50a13688ecd4,0,2,0,0,2
cf3fb038-6a12-4110-8197-897253d6a450,0,2,0,0,2
daa3f110-f87b-48fe-ac52-394fd4ac7fd4,2,0,0,0,2
e807b2f1-6aca-42ff-9c2c-756b0347186d,0,2,0,0,2
eb047db1-4328-4f9d-a750-e64b708b0e2d,0,2,0,0,2
fb32294d-2862-42c1-b47f-ab6cebb9ad02,2,0,0,0,2
fb7cd741-bc60-436f-93af-6255800033ec,0,2,0,0,2
