uuid,female,male,other,skip,total
0080cbfa-de32-489c-883e-67d300e00596,0,1,0,0,1
00a5912f-496e-48b3-a405-8db81193b3b6,0,1,0,0,1
00cf174b-8233-4011-ae85-8e47e9b53cd1,0,1,0,0,1
00f3d2fe-5b92-475b-9a15-eabad6f1a509,0,1,0,0,1
01f3288a-da7f-4a72-838f-d57f939b05fe,0,1,0,0,1
0202dafa-2f49-42fd-8046-27c2cb3ff9d7,0,1,0,0,1
02373766-415e-4cea-a53a-7a48e5acca48,0,1,0,0,1
0249b55a-6305-4310-80b3-d9f79e3e40e8,0,1,0,0,1
02adddd1-8f59-48fa-98ab-739329ba9670,0,1,0,0,1
0335b57a-ad89-488e-a676-3dd14feac914,0,1,0,0,1
046ede72-5819-4008-9bb7-91167ac8487c,0,1,0,0,1
04ab2a1b-21ba-4dc2-b236-c7d08e6feda7,0,1,0,0,1
04ac6412-0071-42a0-9d28-786d47f09827,0,1,0,0,1
05204458-faa6-4c4b-bac1-708563b3f590,0,1,0,0,1
05a888c7-2afc-4149-af4d-6ef2091b16de,1,0,0,0,1
05bd4815-1973-4fb5-a3a9-a435088d62dd,0,1,0,0,1
05d37e01-4e78-459a-ac56-d2e43f264631,0,1,0,0,1
063284fd-9255-4b3d-9d82-c299db11b818,0,1,0,0,1
06613575-46d6-4274-9a18-d52996a8b59a,0,1,0,0,1
06a16e5d-a1a7-4b6f-b09d-05692bc3dccb,0,1,0,0,1
074571aa-70e9-4188-adf0-0ff52d4b70ab,0,1,0,0,1
075e863f-2233-4981-9c27-d8daa58ffc8d,0,1,0,0,1
0771ea58-ea90-439e-8754-4598ead23a4b,0,1,0,0,1
07917cce-7206-4972-b47f-dfd42ba99573,0,1,0,0,1
0852c34e-395b-4d9a-b690-3d9a50487268,0,1,0,0,1
088215d0-ac47-4672-a3a2-8ce5ee570398,0,1,0,0,1
09059c0d-30db-46d9-af6c-9390114de64f,0,1,0,0,1
092fb2f7-a534-4388-b3da-68326eb1885c,0,1,0,0,1
093e58e0-a421-46a7-89b0-7e24491b9613,0,1,0,0,1
09837bcc-438f-480e-a795-28ade1a5c632,1,0,0,0,1
0989df97-0aa0-4546-b231-b3bd42b6c0f3,0,1,0,0,1
09a6409e-c1c0-4b0f-a0a3-6879f5ed884f,0,1,0,0,1
0a0e3461-bb32-4eb2-9504-4eab112d7746,1,0,0,0,1
0a3345bc-3024-4cf9-a978-cf80eb2160f7,1,0,0,0,1
0a48c470-8f8e-4a1d-85ca-057932f60010,0,1,0,0,1
0a4c3fd4-fc58-4c24-a659-87f5d784c576,1,0,0,0,1
0b00e301-f9be-47a8-a6b0-abc05b7c3fa4,0,1,0,0,1
0b191235-0844-4d6d-be34-b343676f205a,0,1,0,0,1
0b677a0a-9247-48d1-909e-25afd7386eeb,1,0,0,0,1
0bb2edb0-ecf1-4e5a-8de5-08163b355591,0,1,0,0,1
0c00925a-62a0-41cf-ab06-907fa7cfab1d,0,1,0,0,1
0c6f31b3-7632-41c6-a32b-60e3b2301aad,0,1,0,0,1
0c7d9e74-901d-44dd-88ac-d499d1371388,1,0,0,0,1
0cb7aedc-ef26-4412-ad74-9fdb95d32426,0,1,0,0,1
0d706b03-cad7-4da4-b119-4763b6fd5292,0,1,0,0,1
0de2eba1-2f2c-478f-8fdc-dfd0bc8e1d9a,0,1,0,0,1
0ea9cdce-2bb3-43d8-aac9-913980a647c8,0,1,0,0,1
0ec48fc1-7763-43c8-856a-df7b14255acb,0,1,0,0,1
0f12f2d5-9226-4811-99ef-d038b262f5db,1,0,0,0,1
0f5a2443-2353-47b7-84c2-0054d8541e93,1,0,0,0,1
0f8fe444-dc1a-4d96-bea8-8f2b2d0bf0d1,0,1,0,0,1
102ec113-4f84-47d1-a81e-3f317e0621fc,0,1,0,0,1
103e0ba6-68d4-4a4d-9523-61f059f41b9b,0,1,0,0,1
10d321a2-371c-4dd2-a2d9-7f1c6bf82fbd,0,1,0,0,1
113baa21-fa4d-4b4f-9111-145df2189eaf,0,1,0,0,1
114fcc18-1576-4cdb-8b7c-313eb7a0e2e7,0,1,0,0,1
11cbd283-2774-450e-b5c5-1ed19a2338d3,0,1,0,0,1
11f8072c-19be-4bd2-ba73-192baba0c91d,0,1,0,0,1
12285e89-7aa5-4ec1-8144-67b77d393f16,0,1,0,0,1
1280223d-cc2f-4717-8727-c78f4aab3134,0,1,0,0,1
138f8ff7-2d19-424d-9d6e-659ab87748c5,0,1,0,0,1
13a7a0d7-83c8-4cf5-9dba-3b2f276285d3,0,1,0,0,1
13b80bd2-e5fe-4637-92a1-af1260dd6aab,0,1,0,0,1
13ce3765-d1e5-44db-8da6-2bfed2e95ec7,0,1,0,0,1
1461ccd3-c7ba-4149-baea-a654ba05931f,0,1,0,0,1
146dfd7f-1f1d-470b-a2ff-b7cf51196735,0,1,0,0,1
146e65d1-5dff-4dd9-b08a-c27b858b749f,0,1,0,0,1
14b5c944-cbcc-4882-adb7-e37250c73946,0,1,0,0,1
153fd2a9-5945-4f08-9c1b-c20dae188e2d,0,1,0,0,1
16151760-7863-442f-9623-bf05b5301dc7,0,1,0,0,1
162d1ff2-d5dd-40bb-8971-51111b5ee086,0,1,0,0,1
16e2d664-aa7e-4948-aba6-a93c4f97ff4e,0,1,0,0,1
170d4b55-4162-4952-8a4e-5b4a07c65d29,0,1,0,0,1
17508f4b-53cb-4198-9579-ba32f62179b0,0,1,0,0,1
17ccebf8-1372-4906-bc90-91b8f1e207a6,0,1,0,0,1
17d5f9ad-f171-498b-a91c-a9095ceb9a16,0,1,0,0,1
17dc2784-147b-4085-bb7a-05066378218c,1,0,0,0,1
17ef1500-bcb6-4005-aa91-793cb9cf5ea2,0,1,0,0,1
18253297-802d-4ef2-8dee-58a2e4c7be28,1,0,0,0,1
