uuid,female,male,other,skip,total
89f4232b-c596-4e66-b599-b5a753fe4f82,,81,,,81
f8bcf8ed-e8a8-4f19-b8e0-be4d6eed8629,73,3,,2,78
1a06e628-2403-4d33-8b80-0f6dc2352cc9,,72,,1,73
9e787531-1486-485f-a45c-150eff74360f,,72,,,72
c7440951-174f-4490-a813-dda2b7157d38,,68,,1,69
474b5bf8-7a4d-435c-8fa4-88f4e55f7265,,76,,,76
0520e866-da50-4c0c-89f4-c85506e501a0,,73,,,73
ee80a597-8dd5-4e08-8111-b5887d3a5ae4,,72,,,72
c1ad3b91-84f6-4fb1-9e0f-3b9bc8a69b3e,,76,,,76
6fe0290b-e16c-48f2-aae4-0fec2e726612,,69,,,69
85dc726b-82a7-48bd-b23a-ed3bb428d83d,72,,,,72
1a23f048-0df5-4e4b-aae0-30da4d1a47a5,,80,,,80
9d84b318-79ed-445b-bd40-86822d8f81e3,,80,,,80
cbb22f79-4996-481f-ab19-425767c88a4f,,69,,2,71
f0bb615f-c584-4850-a64e-e87de40d169a,,74,,,74
ec914731-0b3a-480f-9509-be91bb245021,,67,,8,75
e7ad99ec-4e4b-49ea-9893-a3eef3ceb2a6,,75,,,75
73dac980-b3f1-4e5e-88a8-37c7e9d2f3cd,76,1,,,77
29aa8774-ba80-409c-a2c8-1830d1076db2,71,,,,71
7d6f1cf7-b865-4efd-a84b-a57044d6719f,,72,,,72
36c6fed8-400d-4ce0-80b4-3e936cc12ba2,,73,,,73
770cea36-d62b-412a-bdd1-4e9364f54830,,71,,1,72
4489bad1-0749-475f-beaa-ffe5db7a03e5,,73,,2,75
9564e93b-98c4-44b9-914c-0f16be0fec72,,70,,,70
6a85a542-2415-480c-9e35-684a6abd3a25,,72,,,72
077d5ba0-5560-4245-92ec-fb6dd5757966,,79,,,79
91996363-564b-4b90-bece-bc93ae413949,,62,,9,71
8c1750f3-4f56-4932-bd7b-41f91f65f13e,61,2,,15,78
