id,name,position,start_date,end_date
139a31fb-787c-4e85-bdfc-15425c334e0f,Alan Beith,Liberal Democrats Chief Whip,1977,1985
506bf4ed-02de-4e86-8112-5da78ba7ec8c,Alan Duncan,Shadow Leader of the House of Commons,2009-01-19,2009-09-07
506bf4ed-02de-4e86-8112-5da78ba7ec8c,Alan Duncan,"Shadow Secretary of State for Business, Innovation and Skills",2005-12-08,2009-01-19
506bf4ed-02de-4e86-8112-5da78ba7ec8c,Alan Duncan,Shadow Secretary of State for Transport,2005-05-10,2005-12-08
506bf4ed-02de-4e86-8112-5da78ba7ec8c,Alan Duncan,Shadow Secretary of State for International Development,2004-09-08,2005-05-10
506bf4ed-02de-4e86-8112-5da78ba7ec8c,Alan Duncan,Shadow Secretary of State for Justice,2003-11-10,2004-09-08
55861f11-a816-4650-b774-ba1c93247198,Alan Haselhurst,Chairman of Ways and Means,1997-05-14,2010-06-14
7719aed7-82fa-4aef-af8a-85ce37610ffd,Alan Howarth,Member of the House of Lords,,
b5218527-3731-4f70-ad27-8d5b38182d58,Alan Johnson,Shadow Chancellor of the Exchequer,2010-10-08,2011-01-20
b5218527-3731-4f70-ad27-8d5b38182d58,Alan Johnson,Shadow Home Secretary,2010-05-11,2010-10-08
b5218527-3731-4f70-ad27-8d5b38182d58,Alan Johnson,Secretary of State for the Home Department,2009-06-05,2010-05-11
b5218527-3731-4f70-ad27-8d5b38182d58,Alan Johnson,Secretary of State for Health,2007-06-28,2009-06-05
b5218527-3731-4f70-ad27-8d5b38182d58,Alan Johnson,Secretary of State for Education,2006-05-05,2007-06-28
b5218527-3731-4f70-ad27-8d5b38182d58,Alan Johnson,"Secretary of State for Business, Innovation and Skills",2005-05-06,2006-05-05
b5218527-3731-4f70-ad27-8d5b38182d58,Alan Johnson,Secretary of State for Work and Pensions,2004-09-08,2005-05-06
4ff778e8-547e-49b9-83a7-f8711154df84,Alasdair McDonnell,Member of the Legislative Assembly of Northern Ireland,,
76f849a8-2349-4c87-8e5c-beb24d5ec8e6,Alastair Goodlad,Shadow Leader of the House of Commons,1997-05-02,1997-06-30
76f849a8-2349-4c87-8e5c-beb24d5ec8e6,Alastair Goodlad,Shadow Secretary of State for International Development,1997-06-30,1998-06-01
76f849a8-2349-4c87-8e5c-beb24d5ec8e6,Alastair Goodlad,Minister of State for Foreign Affairs,1992-04-15,1995-07-20
76f849a8-2349-4c87-8e5c-beb24d5ec8e6,Alastair Goodlad,Treasurer of the Household,1990-07-14,1992-04-15
76f849a8-2349-4c87-8e5c-beb24d5ec8e6,Alastair Goodlad,Comptroller of the Household,1989-07-25,1990-07-14
76f849a8-2349-4c87-8e5c-beb24d5ec8e6,Alastair Goodlad,Member of the House of Lords,,
6a85a542-2415-480c-9e35-684a6abd3a25,Alex Salmond,Member of the Scottish Parliament,,
65debd30-e099-4df8-9320-ae6abd48ea16,Alistair Carmichael,Secretary of State for Scotland,2013-10-07,2015-05-08
8a7d21e4-45c5-4183-a0f3-a7457116a2d1,Alun Cairns,Member of the National Assembly for Wales,,
74c8931f-8a8d-48a8-b9f8-2d4f2aec32a0,Andrea Leadsom,Economic Secretary to the Treasury,2014-04-09,
6a96c3e2-c057-4bff-8d51-9df52706a58f,Andrew Mitchell,Secretary of State for International Development,2010-05-12,2012-09-04
6a96c3e2-c057-4bff-8d51-9df52706a58f,Andrew Mitchell,Shadow Secretary of State for International Development,2005-05-07,2010-05-11
6a96c3e2-c057-4bff-8d51-9df52706a58f,Andrew Mitchell,Parliamentary Secretary to the Treasury,2012-09-04,2012-10-19
eab527c8-fd11-4147-b06c-26c8cd26d50c,Andrew Murrison,Minister for International Security Strategy,2012-09-04,2014-07-14
715cbcaa-1a45-4ee6-b516-eb7e01842e45,Andrew Smith,Secretary of State for Work and Pensions,2002-05-29,2004-09-08
715cbcaa-1a45-4ee6-b516-eb7e01842e45,Andrew Smith,Chief Secretary to the Treasury,1999-10-11,2002-05-29
715cbcaa-1a45-4ee6-b516-eb7e01842e45,Andrew Smith,Shadow Secretary of State for Transport,1996-07-25,1997-05-02
715cbcaa-1a45-4ee6-b516-eb7e01842e45,Andrew Smith,Shadow Chief Secretary to the Treasury,1994-07-21,1996-07-25
a2daa008-28da-4d0c-87aa-dc2df5e03ed2,Andrew Tyrie,Financial Secretary to the Treasury,2003-11-11,2004-03-15
a2daa008-28da-4d0c-87aa-dc2df5e03ed2,Andrew Tyrie,Paymaster General,2004-03-15,2005-05-06
3a971340-a3ce-4fe2-8afe-835717350e5d,Andy Burnham,Shadow Secretary of State for Health,2011-10-07,
3a971340-a3ce-4fe2-8afe-835717350e5d,Andy Burnham,Shadow Secretary of State for Education,2010-10-08,2011-10-07
3a971340-a3ce-4fe2-8afe-835717350e5d,Andy Burnham,Secretary of State for Health,2009-06-05,2010-05-11
3a971340-a3ce-4fe2-8afe-835717350e5d,Andy Burnham,"Secretary of State for Culture, Media and Sport",2008-01-24,2009-06-05
3a971340-a3ce-4fe2-8afe-835717350e5d,Andy Burnham,Chief Secretary to the Treasury,2007-06-28,2008-01-24
7f6e8710-def6-453d-912c-b8bb9347a227,Angela Browning,"Secretary of State for Business, Innovation and Skills",,
7f6e8710-def6-453d-912c-b8bb9347a227,Angela Browning,Member of the House of Lords,,
7f6e8710-def6-453d-912c-b8bb9347a227,Angela Browning,Shadow Leader of the House of Commons,2000-09-26,2001-09-18
7f6e8710-def6-453d-912c-b8bb9347a227,Angela Browning,"Shadow Secretary of State for Business, Innovation and Skills",1999-06-15,2000-09-26
f7d231bd-b934-4fc2-95ea-575599e4b017,Angela Eagle,Chief Secretary to the Treasury,,
f7d231bd-b934-4fc2-95ea-575599e4b017,Angela Eagle,Shadow Leader of the House of Commons,2011-10-07,
f7d231bd-b934-4fc2-95ea-575599e4b017,Angela Eagle,Shadow Chief Secretary to the Treasury,2010-10-08,2011-10-07
f7d231bd-b934-4fc2-95ea-575599e4b017,Angela Eagle,Exchequer Secretary to the Treasury,2007-06-29,2009-06-08
724635db-7334-4185-a693-1e6c77a314e9,Angela Smith,Member of the House of Lords,,
724635db-7334-4185-a693-1e6c77a314e9,Angela Smith,Parliamentary Private Secretary to the Prime Minister,2007-06-27,2009-06-08
