id,name,group,group_id,gender,term,constituency,area-constituency,area-district,area-sub_region,area-region,area_type,qualification,email,phone,twitter,facebook,image,summary,date_of_birth,date_of_death,start_date,end_date
mp_01,Abas Agaba,National Resistance Movement,NRM,male,10,Kitagwenda County,Kitagwenda County,Kamwenge,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_02,Abdu Katuntu,Forum for Democratic Change,FDC,male,10,Bugweri County,Bugweri County,Iganga,Busoga,Eastern,Rural,Post Graduate,,,,,,,1965,,,
mp_03,Abdul Latif Ssebagala,Independent,INDEP,male,10,Kawempe North,Kawempe North,Kampala,Buganda,Central,Urban,Bachelors,,,,,,,1968,,,
mp_04,Aboud Kitatta,National Resistance Movement,NRM,male,10,Bukoto West,Bukoto West,Lwengo,Buganda,Central,Rural,Masters,,,,,,,1943,,,
mp_05,Abraham Byandala,National Resistance Movement,NRM,male,10,Katikamu North,Katikamu North,luweero,Buganda,Central,Rural,Masters,,,,,,,1950,,,
mp_06,Adolf Mwesigye,National Resistance Movement,NRM,male,10,Bunyangabu,Bunyangabu,Kabarole,Tooro/Rwenzori,Western,Rural,Post Graduate,,,,,,,1966,,,
mp_07,Aggrey Bagiire,National Resistance Movement,NRM,male,10,Bunya West,Bunya West,Mayuge,Busoga,Eastern,Rural,,,,,,,,,,,
mp_08,Albert Lokoroi,National Resistance Movement,NRM,male,10,Tepeth County,Tepeth County,Moroto,Karamoja,Northern,Rural,,,,,,,,,,,
mp_09,Alex Byarugaba,National Resistance Movement,NRM,male,10,Isingiro south,Isingiro south,Isingiro,Ankole,Western,Rural,Masters,,,,,,,1958,,,
mp_10,Alex Mungoma Musingo Burundo,National Resistance Movement,NRM,male,10,Bulambuli County,Bulambuli County,Bulambuli,Bugisu,Eastern,Rural,,,,,,,,,,,
mp_100,Gideon Onyango,Independent,INDEP,male,10,Samia Bugwe North,Samia Bugwe North,Busia,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_101,Gilbert Olanya,Forum for Democratic Change,FDC,male,10,Kilak South,Kilak South,Amuru,Acholi,Northern,Rural,Masters,,,@Golanya2Golanya,https://www.facebook.com/gilbert.olanya?fref=ts,,,1977,,,
mp_102,Godfrey Katusabe ,Forum for Democratic Change,FDC,male,10,Bukonjo county,Bukonjo county,Kasese,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_103,Godfrey Kiwanda,National Resistance Movement,NRM,male,10,Mityana North,Mityana North,Mityana,Buganda,Central,Rural,Bachelors,,,,,,,1973,,,
mp_104,Godfrey Onzima,National Resistance Movement,NRM,male,10,Aringa North,Aringa North,Yumbe,West Nile,Northern,Rural,,,,,,,,,,,
mp_105,Gordon Arinda Kakuna,National Resistance Movement,NRM,male,10,Bushenyi-Ishaka Municipality,Bushenyi-Ishaka Municipality,Bushenyi,Ankole,Western,Urban,,,,,,,,,,,
mp_106,Gordon Bafaki,National Resistance Movement,NRM,male,10,Kazo,Kazo,Kiruhura,Ankole,Western,Rural,,,,,,,,,,,
mp_107,Harold Tonny Muhindo,Forum for Democratic Change,FDC,male,10,Bukonzo East,Bukonzo East,Kasese,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_108,Haruna Kasolo  Kyeyune,National Resistance Movement,NRM,male,10,Kyotera County,Kyotera County,Rakai,Buganda,Central,Rural,Bachelors,,,,,,,1979,,,
mp_109,Hassan Kaps Fungaro,Forum for Democratic Change,FDC,male,10,Obongi County,Obongi County,Moyo,West Nile,Northern,Rural,Masters,,,@KAPSHASSAN,https://www.facebook.com/fungarook?fref=ts,,,1977,,,
mp_11,Alex Ruhunda,National Resistance Movement,NRM,male,10,Fort Portal Municipality,Fort Portal Municipality,Kabarole,Tooro/Rwenzori,Western,Urban,Masters,,,@aruhunda,https://www.facebook.com/aruhunda?fref=ts,,,1971,,,
mp_110,Hatwib Katoto,National Resistance Movement,NRM,male,10,Katerera,Katerera,Rubirizi,Ankole,Western,Rural,Bachelors,,,,,,,1975,,,
mp_111,Henry Kamya Makumbi,National Resistance Movement,NRM,male,10,Mityana South,Mityana South,Mityana,Buganda,Central,Urban,,,,,,,,,,,
mp_112,Henry Maurice Kibalya,National Resistance Movement,NRM,male,10,Bugabula South,Bugabula South,Kamuli,Busoga,Eastern,Rural,,,,,,,,,,,
mp_113,Henry Musasizi,National Resistance Movement,NRM,male,10,Rubanda East,Rubanda East,Kabale,Kigezi,Western,Rural,Bachelors,,,@HenryMusasizi,,,,1981,,,
mp_114,Henry Okello Oryem,National Resistance Movement,NRM,male,10,Chwa East,Chwa East,Kitgum,Acholi,Northern,Rural,Masters,,,,,,,1960,,,
mp_115,Herbert  Edmund Ariko,Forum for Democratic Change,FDC,male,10,Soroti Municipality,Soroti Municipality,Soroti,Teso,Eastern,Urban,,,,,,,,,,,
mp_116,Herbert Kabafunzaki,National Resistance Movement,NRM,male,10,Rukiga County,Rukiga County,Kabale,Kigezi,Western,Rural,,,,,,,,,,,
mp_117,Herbert Tom Kinobere,Independent,INDEP,male,10,Kibuku county,Kibuku county,Kibuku,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_118,Hilary Lokwang,National Resistance Movement,NRM,male,10,Ik County,Ik County,Kabong,Karamoja,Northern,Rura,,,,,,,,,,,
mp_119,Hillary Onek,National Resistance Movement,NRM,male,10,Lamwo County,Lamwo County,Lamwo,Acholi,Northern,Rural,Masters,,,,,,,1948,,,
mp_12,Allan Ssewanyana,Democratic Party,DP,male,10,Makindye West,Makindye West,Kampala,Buganda,Central,Urban,,,,,,,,,,,
mp_120,Ibanda Gerald Rwemulikya,National Resistance Movement,NRM,male,10,Ntoroko County,Ntoroko County,Ntoroko,Toro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_121,Ibrahim Abiriga,National Resistance Movement,NRM,male,10,Arua Municipality,Arua Municipality,Arua,West Nile,Northern,Urban,,,,,,,,,,,
mp_122,Ibrahim Kasozi,Forum for Democratic Change,FDC,male,10,Makindye East,Makindye East,Kampala,Buganda,Central,Urban,,,,,,,,,,,
mp_123,Idi Amin Taban,National Resistance Movement,NRM,male,10,Kibanda North,Kibanda North,Kiryandongo,Bunyoro,Western,Rural,,,,,,,,,,,
mp_124,Isaac Etuka Joakino,National Resistance Movement,NRM,male,10,Upper Madi,Upper Madi,Arua,West Nile,Northern,Rural,,,,,,,,,,,
mp_125,Isaac Isanga Musumba,National Resistance Movement,NRM,male,10,Buzaya County,Buzaya County,Kamuli,Busoga,Eastern,Rural,,,,,,,,,,,
mp_126,Isaac Mulindwa Sozi,National Resistance Movement,NRM,male,10,Lugazi Municipality,Lugazi Municipality,Buikwe,Buganda,Central,Urban,,,,,,,,,,,
mp_127,Ismael Orot,National Resistance Movement,NRM,male,10,Kanyum County,Kanyum County,Kumi,Teso,Eastern,Rural,,,,,,,,,,,
mp_128,Ismail Ogama,National Resistance Movement,NRM,male,10,Lower Madi,Lower Madi,Arua,West Nile,Northern,Rural,,,,,,,,,,,
mp_129,Jack Odur Lutanywa,National Resistance Movement,NRM,male,10,Kibanda South,Kibanda South,Kiryandongo,Bunyoro,Western,Rural,,,,,,,,,,,
mp_13,Amelia Kyambadde,National Resistance Movement,NRM,female,10,Mawokota North,Mawokota North,Mpigi,Buganda,Central,Rural,Masters,,,@AKyambadde,https://www.facebook.com/pages/Amelia-Anne-Kyambadde/153673307993981?fref=ts,,,1955,,,
mp_130,Jack Wamai,Forum for Democratic Change,FDC,male,10,Mbale Municipality,Mbale Municipality,Mbale,Bugisu,Eastern,Urban,Masters,,,@jwwamai,,,,1946,,,
mp_131,Jackson Karugaba Kafuuzi,National Resistance Movement,NRM,male,10,Kyaka South,Kyaka South,Kyegegwa,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_132,Jackson Mbaju,Forum for Democratic Change,FDC,male,10,Busongora South,Busongora South,Kasese,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_133,Jacob Opolot,Independent,INDEP,male,10,Pallisa County,Pallisa County,Pallisa,Bukedi,Eastern,Rural,Post Graduate,,,,,,,1970,,,
mp_134,Jacob Oulanyah L'okori,National Resistance Movement,NRM,male,10,Omoro County,Omoro County,Gulu,Acholi,Northern,Rural,,,,@joulanyah,https://www.facebook.com/jacob.oulanyah?fref=ts,,,1965,,,
mp_135,James Acidri ,National Resistance Movement,NRM,male,10,Maracha East,Maracha East,Maracha,West Nile,Northern,Rural,,,,,,,,,,,
mp_136,James Baba,National Resistance Movement,NRM,male,10,Koboko County,Koboko County,Koboko,West Nile,Northern,Rural,Masters,,,,,,,1945,,,
mp_137,James Kaberuka Niringiyimana,National Resistance Movement,NRM,male,10,Kinkizi West,Kinkizi West,Kanungu,Kigezi,Western,Rural,,,,,,,,,,,
