uuid,female,male,other,skip,total
0005af3a-9471-4d1f-9299-737fff4b9b46,0,1,0,0,1
00aa2dc0-bfb6-4412-a7fc-4f0cfdc00ebf,0,7,0,0,7
00aca284-9323-4953-bb7a-1bf6f5eefe95,0,6,0,0,6
00b73df5-4180-4418-8b21-b6367add06c9,0,1,0,0,1
00bee44f-db04-4a7d-972d-041f77dfa50d,0,7,0,0,7
00f8f12d-6e27-4a21-910d-02857dda9e27,0,1,0,0,1
015d77c8-6edb-4eda-b2cb-cf159cce055e,0,1,0,0,1
01b100ac-192e-4b5a-a4a4-b4cd8698f99d,0,1,0,0,1
01bc21bf-8939-4875-8b24-184d6c23a8bc,0,7,0,0,7
020aa7dd-54ef-435d-b357-3730c1042e62,0,7,0,0,7
02141651-eca2-4aa8-9167-fb66e4354d7f,0,1,0,0,1
0231c6ef-6e92-49b3-81f9-c61a971a97b4,0,6,0,0,6
0239032f-be5c-4afd-8543-f0199745014f,0,7,0,0,7
0263f619-eff8-4e11-921f-9270b47699c0,0,6,0,0,6
029e793d-ec40-4a18-b919-a626ad42a948,0,6,0,0,6
02b621fc-0523-4499-833c-b9f747448bc7,0,6,0,0,6
03018f7c-f866-4199-92b3-81a6211b9842,0,1,0,0,1
0323328a-e467-49bd-9b6f-55ac043ed535,0,1,0,0,1
037bf953-23f6-46fb-9378-1107aceb4031,0,6,0,0,6
038c87d8-82b4-4fbd-ad78-921abb56c470,8,0,0,0,8
03bd4169-c43d-4dfa-bf6c-a579baec2f9b,0,1,0,0,1
03bf4f79-c308-4608-a6ae-67842469ec9f,1,0,0,0,1
03cf9876-b6ff-4317-8d64-28c609fd8226,6,0,0,0,6
03e8059d-862e-4561-89cb-3cff7c7c7d72,0,1,0,0,1
0450fa74-0c65-474c-ad90-1c805239a780,1,0,0,0,1
04898269-db05-4d76-92be-b4e58eb189d7,0,6,0,0,6
05160b0d-3175-44bf-a7a1-70e29786d677,0,1,0,0,1
051f7058-5a85-4372-9729-e6ec5f8cb5b4,0,1,0,0,1
0526e8ec-e08c-4c54-9275-9c1903b78248,1,0,0,0,1
05691e0f-f6f7-47bc-a87c-7eaa239b85a7,0,0,0,1,1
058a2734-c8e9-4631-9d39-c55e50249f0c,0,1,0,0,1
05ca7d68-89b0-42ed-86c8-4adc0eee64fd,0,1,0,0,1
0639e96b-a37b-45f2-81a8-b5d6720b1a4e,0,9,0,0,9
066692ab-e036-4978-8dc8-06e1e85a379e,0,7,0,0,7
0692acb6-1cd9-432d-8f68-7430a1a6ffed,0,1,0,0,1
06bc858d-ab4d-4065-8272-c159cb1e3057,0,1,0,0,1
06cddde7-c421-4f8c-9ed1-d5f6e6e01ed6,6,0,0,0,6
06f6e9a6-0678-4db9-9147-cd53d89ac5f3,0,6,0,0,6
