id,name,position,start_date,end_date
40a28152-5aa9-41ce-9b01-e551a8e6e0b6,Antonio Maria Vegliò,archbishop,,
40a28152-5aa9-41ce-9b01-e551a8e6e0b6,Antonio Maria Vegliò,bishop,,
0b2612a9-022d-4f6e-b906-193cbdd1d3ee,Attilio Nicora,cardinal,,2011-07-07
0b2612a9-022d-4f6e-b906-193cbdd1d3ee,Attilio Nicora,archbishop,,
0b2612a9-022d-4f6e-b906-193cbdd1d3ee,Attilio Nicora,bishop,,
93d2a9b7-9c75-4291-94f8-5b2637a5d846,Domenico Calcagno,cardinal,,
93d2a9b7-9c75-4291-94f8-5b2637a5d846,Domenico Calcagno,archbishop,,
03b42003-34aa-44c8-81ec-957558d7004f,Giovanni Battista Re,cardinal,,
03b42003-34aa-44c8-81ec-957558d7004f,Giovanni Battista Re,archbishop,,
03b42003-34aa-44c8-81ec-957558d7004f,Giovanni Battista Re,bishop,,
c9350a27-551e-4bb0-b7a6-913b539e0536,Giuseppe Bertello,archbishop,1987-10-28,
c9350a27-551e-4bb0-b7a6-913b539e0536,Giuseppe Bertello,cardinal,2012-02-18,
c9350a27-551e-4bb0-b7a6-913b539e0536,Giuseppe Bertello,bishop,,
c9350a27-551e-4bb0-b7a6-913b539e0536,Giuseppe Bertello,President of the Pontifical Commission for Vatican City State,2011-10-01,
c9350a27-551e-4bb0-b7a6-913b539e0536,Giuseppe Bertello,nuncio,,
a0313d16-3ae5-47ed-a4ef-4635d8f3bf43,Jean-Louis Tauran,archbishop,,
a0313d16-3ae5-47ed-a4ef-4635d8f3bf43,Jean-Louis Tauran,cardinal,,
a0313d16-3ae5-47ed-a4ef-4635d8f3bf43,Jean-Louis Tauran,bishop,,
a0313d16-3ae5-47ed-a4ef-4635d8f3bf43,Jean-Louis Tauran,Camerlengo of the Holy Roman Church,2014,
a0313d16-3ae5-47ed-a4ef-4635d8f3bf43,Jean-Louis Tauran,prefect of the Vatican Library,,
47b455df-d704-4848-b84e-5ea95410adf9,Leonardo Sandri,archbishop,,
47b455df-d704-4848-b84e-5ea95410adf9,Leonardo Sandri,cardinal,,
47b455df-d704-4848-b84e-5ea95410adf9,Leonardo Sandri,bishop,,
