id,name,role,party,area_id,area,image,email,website,facebook,twitter,term,source,other_name,start_date,end_date
102,Carwyn Jones,The First Minister,Welsh Labour,ocd-division/country:gb-wls/region:south_wales_west/constituency:bridgend,Bridgend,http://senedd.assembly.wales/UserData/2/0/1/Info00000102/bigpic.jpg,Carwyn.Jones@assembly.wales,"","","",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=102,,2011-05-06,
103,Ieuan Wyn Jones,"",Plaid Cymru,ocd-division/country:gb-wls/region:north_wales/constituency:ynys_môn,Ynys Môn,http://www.senedd.assemblywales.org/UserData/3/0/1/Info00000103/bigpic.jpg,"","","","",4,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=103,,2011-05-06,2013-06-20
130,Mohammad Asghar,"",Welsh Conservative Party,ocd-division/country:gb-wls/region:south_wales_east,South Wales East,http://senedd.assembly.wales/UserData/0/3/1/Info00000130/bigpic.jpg,Mohammad.Asghar@assembly.wales,http://www.mohammadasghar.org.uk/,https://www.facebook.com/mohammadasgharwelshconservatives,http://twitter.com/mohammadasghar,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=130,Oscar,2011-05-06,
133,Peter Black,Commissioner,Welsh Liberal Democrats,ocd-division/country:gb-wls/region:south_wales_west,South Wales West,http://senedd.assembly.wales/UserData/3/3/1/Info00000133/bigpic.jpg,Peter.Black@assembly.wales,http://www.peterblack.wales,http://www.facebook.com/peterblack.wales,http://twitter.com/peterblackwales,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=133,,2011-05-06,
135,Angela Burns,Commissioner,Welsh Conservative Party,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:carmarthen_west_and_south_pembrokeshire,Carmarthen West and South Pembrokeshire,http://senedd.assembly.wales/UserData/5/3/1/Info00000135/bigpic.jpg,Angela.Burns@assembly.wales,http://www.angelaburns.org.uk/,"",http://twitter.com/AngelaBurnsAM,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=135,,2011-05-06,
136,Dame Rosemary Butler,Presiding Officer,Welsh Labour,ocd-division/country:gb-wls/region:south_wales_east/constituency:newport_west,Newport West,http://senedd.assembly.wales/UserData/6/3/1/Info00000136/bigpic.jpg,Rosemary.Butler@assembly.wales,http://www.rosemarybutleram.co.uk/,http://www.facebook.com/pages/Rosemary-Butler-politician/144061692279715,http://twitter.com/RosemaryButler,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=136,,2011-05-06,
138,Christine Chapman,"",Welsh Labour,ocd-division/country:gb-wls/region:south_wales_central/constituency:cynon_valley,Cynon Valley,http://senedd.assembly.wales/UserData/8/3/1/Info00000138/bigpic.jpg,Christine.Chapman@assembly.wales,"",http://www.facebook.com/christine.chapman.397,http://twitter.com/ChrisChapmanAM,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=138,,2011-05-06,
139,Jeff Cuthbert,"",Welsh Labour,ocd-division/country:gb-wls/region:south_wales_east/constituency:caerphilly,Caerphilly,http://senedd.assembly.wales/UserData/9/3/1/Info00000139/bigpic.jpg,Jeff.Cuthbert@assembly.wales,http://jeffcuthbert.org.uk/,http://www.facebook.com/JeffCuthbert,http://twitter.com/JeffCuthbert,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=139,,2011-05-06,
143,Andrew RT Davies,"",Welsh Conservative Party,ocd-division/country:gb-wls/region:south_wales_central,South Wales Central,http://senedd.assembly.wales/UserData/3/4/1/Info00000143/bigpic.jpg,AndrewRT.Davies@assembly.wales,http://www.andrewrtdavies.com/,http://www.facebook.com/AndrewRTDaviesAM,http://twitter.com/AndrewRTDavies,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=143,,2011-05-06,
144,Jocelyn Davies,"",Plaid Cymru,ocd-division/country:gb-wls/region:south_wales_east,South Wales East,http://senedd.assembly.wales/UserData/4/4/1/Info00000144/bigpic.jpg,Jocelyn.Davies@assembly.wales,"","",http://twitter.com/parkgirl59,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=144,,2011-05-06,
145,Paul Davies,"",Welsh Conservative Party,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:preseli_pembrokeshire,Preseli Pembrokeshire,http://senedd.assembly.wales/UserData/5/4/1/Info00000145/bigpic.jpg,Paul.Davies@assembly.wales,http://www.pauldaviesam.co.uk/,"","",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=145,,2011-05-06,
146,Dafydd Elis-Thomas,"",Plaid Cymru,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:dwyfor_meirionnydd,Dwyfor Meirionnydd,http://senedd.assembly.wales/UserData/6/4/1/Info00000146/bigpic.jpg,Dafydd.Elis-Thomas@assembly.wales,"",http://www.facebook.com/dafydd.elisthomas,http://twitter.com/ElisThomasD,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=146,,2011-05-06,
151,William Graham,"",Welsh Conservative Party,ocd-division/country:gb-wls/region:south_wales_east,South Wales East,http://senedd.assembly.wales/UserData/1/5/1/Info00000151/bigpic.jpg,William.Graham@assembly.wales,"","",http://twitter.com/williamgrahamam,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=151,,2011-05-06,
152,Janice Gregory,"",Welsh Labour,ocd-division/country:gb-wls/region:south_wales_west/constituency:ogmore,Ogmore,http://senedd.assembly.wales/UserData/2/5/1/Info00000152/bigpic.jpg,Janice.Gregory@assembly.wales,"","","",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=152,,2011-05-06,
153,John Griffiths,"",Welsh Labour,ocd-division/country:gb-wls/region:south_wales_east/constituency:newport_east,Newport East,http://senedd.assembly.wales/UserData/3/5/1/Info00000153/bigpic.jpg,John.Griffiths@assembly.wales,http://www.johngriffithsam.com/,"","",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=153,,2011-05-06,
154,Lesley Griffiths,The Minister for Communities and Tackling Poverty,Welsh Labour,ocd-division/country:gb-wls/region:north_wales/constituency:wrexham,Wrexham,http://senedd.assembly.wales/UserData/4/5/1/Info00000154/bigpic.jpg,Lesley.Griffiths@assembly.wales,"","","",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=154,,2011-05-06,
155,Edwina Hart,"The Minister for Economy, Science and Transport",Welsh Labour,ocd-division/country:gb-wls/region:south_wales_west/constituency:gower,Gower,http://senedd.assembly.wales/UserData/5/5/1/Info00000155/bigpic.jpg,Edwina.Hart@assembly.wales,"","","",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=155,,2011-05-06,
156,Jane Hutt,The Minister for Finance and Government Business,Welsh Labour,ocd-division/country:gb-wls/region:south_wales_central/constituency:vale_of_glamorgan,Vale of Glamorgan,http://senedd.assembly.wales/UserData/6/5/1/Info00000156/bigpic.jpg,Jane.Hutt@assembly.wales,http://www.janehutt.co.uk/,http://www.facebook.com/jane.hutt.714,http://twitter.com/JaneHutt,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=156,,2011-05-06,
157,Mark Isherwood,"",Welsh Conservative Party,ocd-division/country:gb-wls/region:north_wales,North Wales,http://senedd.assembly.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Mark.Isherwood@assembly.wales,http://www.markisherwood.co.uk/,"",http://twitter.com/MarkIsherwoodAM/,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=157,,2011-05-06,
159,Bethan Jenkins,"",Plaid Cymru,ocd-division/country:gb-wls/region:south_wales_west,South Wales West,http://senedd.assembly.wales/UserData/9/5/1/Info00000159/bigpic.jpg,Bethan.Jenkins@assembly.wales,"",http://www.facebook.com/pages/Bethan-Jenkins-Plaid-Cymru-Assembly-Member/38277580617,"",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=159,,2011-05-06,
160,Alun Ffred Jones,"",Plaid Cymru,ocd-division/country:gb-wls/region:north_wales/constituency:arfon,Arfon,http://senedd.assembly.wales/UserData/0/6/1/Info00000160/bigpic.jpg,AlunFfred.Jones@assembly.wales,http://www.alunffredjones.plaidcymru.org,"",http://twitter.com/AlunFfredPlaid,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=160,,2011-05-06,
161,Ann Jones,"",Welsh Labour,ocd-division/country:gb-wls/region:north_wales/constituency:vale_of_clwyd,Vale of Clwyd,http://senedd.assembly.wales/UserData/1/6/1/Info00000161/bigpic.jpg,Ann.Jones@assembly.wales,"","",http://twitter.com/ann_jonesam,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=161,,2011-05-06,
162,Elin Jones,"",Plaid Cymru,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:ceredigion,Ceredigion,http://senedd.assembly.wales/UserData/2/6/1/Info00000162/bigpic.jpg,Elin.Jones@assembly.wales,"","",http://twitter.com/ElinCeredigion,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=162,,2011-05-06,
166,Huw Lewis,The Minister for Education and Skills,Welsh Labour,ocd-division/country:gb-wls/region:south_wales_east/constituency:merthyr_tydfil_and_rhymney,Merthyr Tydfil and Rhymney,http://senedd.assembly.wales/UserData/6/6/1/Info00000166/bigpic.jpg,Huw.Lewis@assembly.wales,http://www.huwlewis.org.uk,http://www.facebook.com/HuwLewisAM,http://twitter.com/huwlewis,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=166,,2011-05-06,
169,David Melding,Deputy Presiding Officer,Welsh Conservative Party,ocd-division/country:gb-wls/region:south_wales_central,South Wales Central,http://senedd.assembly.wales/UserData/9/6/1/Info00000169/bigpic.jpg,David.Melding@assembly.wales,"","",http://twitter.com/DavidMeldingAM,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=169,,2011-05-06,
170,Sandy Mewies,Commissioner,Welsh Labour,ocd-division/country:gb-wls/region:north_wales/constituency:delyn,Delyn,http://senedd.assembly.wales/UserData/0/7/1/Info00000170/bigpic.jpg,Sandy.Mewies@assembly.wales,"","",http://twitter.com/SandyMewiesAM,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=170,,2011-05-06,
171,Darren Millar,"",Welsh Conservative Party,ocd-division/country:gb-wls/region:north_wales/constituency:clwyd_west,Clwyd West,http://senedd.assembly.wales/UserData/1/7/1/Info00000171/bigpic.jpg,Darren.Millar@assembly.wales,"","",http://twitter.com/DarrenMillarAM,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=171,,2011-05-06,
174,Lynne Neagle,"",Welsh Labour,ocd-division/country:gb-wls/region:south_wales_east/constituency:torfaen,Torfaen,http://senedd.assembly.wales/UserData/4/7/1/Info00000174/bigpic.jpg,Lynne.Neagle@assembly.wales,"",http://www.facebook.com/lynneneagle,"",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=174,,2011-05-06,
175,Nick Ramsay,"",Welsh Conservative Party,ocd-division/country:gb-wls/region:south_wales_east/constituency:monmouth,Monmouth,http://senedd.assembly.wales/UserData/5/7/1/Info00000175/bigpic.jpg,Nicholas.Ramsay@assembly.wales,http://www.nickramsay.org.uk/,"",http://twitter.com/@NickRamsayAM,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=175,,2011-05-06,
178,Carl Sargeant,The Minister for Natural Resources,Welsh Labour,ocd-division/country:gb-wls/region:north_wales/constituency:alyn_and_deeside,Alyn and Deeside,http://senedd.assembly.wales/UserData/8/7/1/Info00000178/bigpic.jpg,Carl.Sargeant@assembly.wales,"","","",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=178,,2011-05-06,
180,Gwenda Thomas,"",Welsh Labour,ocd-division/country:gb-wls/region:south_wales_west/constituency:neath,Neath,http://senedd.assembly.wales/UserData/0/8/1/Info00000180/bigpic.jpg,Gwenda.Thomas@assembly.wales,http://www.gwendathomas.com,"",http://twitter.com/Gwendathomas,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=180,,2011-05-06,
181,Rhodri Glyn Thomas,Commissioner,Plaid Cymru,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:carmarthen_east_and_dinefwr,Carmarthen East and Dinefwr,http://senedd.assembly.wales/UserData/1/8/1/Info00000181/bigpic.jpg,Rhodri.Thomas@assembly.wales,http://www.rhodriglynthomas.org/,"",http://twitter.com/RhodriGlynPlaid,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=181,,2011-05-06,
182,Joyce Watson,"",Welsh Labour,ocd-division/country:gb-wls/region:mid_and_west_wales,Mid and West Wales,http://senedd.assembly.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Joyce.Watson@assembly.wales,http://www.joycewatson.org.uk/,http://www.facebook.com/joycewatsonam,"",4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=182,,2011-05-06,
184,Kirsty Williams,"",Welsh Liberal Democrats,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:brecon_and_radnorshire,Brecon and Radnorshire,http://senedd.assembly.wales/UserData/4/8/1/Info00000184/bigpic.jpg,Kirsty.Williams@assembly.wales,"",http://www.facebook.com/kirstywilliams.cymru,http://twitter.com/kirsty_williams,4,http://senedd.assembly.wales/mgUserInfo.aspx?UID=184,,2011-05-06,
