id,name,position,start_date,end_date
e5da3a6e-7fe7-4325-b936-325a44babca8,Adam Price,Member of Parliament in the United Kingdom,2001-06-09,2010-04-12
97bdfa57-6798-4098-a8f4-77e823837313,Carwyn Jones,First Minister of Wales,,
97bdfa57-6798-4098-a8f4-77e823837313,Carwyn Jones,Counsel General for Wales,,
97bdfa57-6798-4098-a8f4-77e823837313,Carwyn Jones,Leader of Welsh Labour,2009-12-10,
1ee666d1-225f-4561-92da-cfcb94b91a6d,Dafydd Elis-Thomas,Presiding Officer of the National Assembly for Wales,1999-05-12,2011-05-11
1ee666d1-225f-4561-92da-cfcb94b91a6d,Dafydd Elis-Thomas,Member of Parliament in the United Kingdom,1974-02-28,1992-04-09
1ee666d1-225f-4561-92da-cfcb94b91a6d,Dafydd Elis-Thomas,Member of the House of Lords,,
52c8ed62-459c-4da6-874f-b527b3624e76,Edwina Hart,"Minister for Business, Enterprise, Technology and Science",2011-05-13,
52c8ed62-459c-4da6-874f-b527b3624e76,Edwina Hart,Minister for Health and Social Services,2007-05-04,2011-05-13
704a4db1-134c-4aa1-aab4-6b54338b5d66,Eluned Morgan,Member of the House of Lords,,
e10df87f-fe38-4e82-aaed-2bda6fa0da65,Huw Irranca-Davies,Member of Parliament in the United Kingdom,2002-02-14,
92600914-3867-4f97-9b79-efe99292e882,Huw Lewis,Minister for Education and Skills,,
52d4caab-a7c7-418a-856a-8b4caa349a96,Ieuan Wyn Jones,Deputy First Minister for Wales,2007-07-11,2011-05-13
52d4caab-a7c7-418a-856a-8b4caa349a96,Ieuan Wyn Jones,Member of Parliament in the United Kingdom,1987-06-11,2001-06-07
52d4caab-a7c7-418a-856a-8b4caa349a96,Ieuan Wyn Jones,"Minister for Business, Enterprise, Technology and Science",,
c51e3561-cacc-4d04-ac0b-49b4037e4969,Jane Hutt,Minister for Education and Skills,,
1d2c8e4c-6dd2-4991-99a9-6030ef37a879,Julie Morgan,Member of Parliament in the United Kingdom,1997-05-02,2010-04-12
06c837dd-18e5-400d-9cd9-bec7b16076a3,Leighton Andrews,Minister for Education and Skills,,
3396369e-5e6b-4c2b-99ee-0c7f3cce0018,Lesley Griffiths,Minister for Health and Social Services,,
1bf1a090-aa1f-4779-a667-d95b4981fc2d,Mark Reckless,Member of Parliament in the United Kingdom,,
add634e1-5bf2-4d5f-9b5a-d539644f2354,Neil Hamilton,Member of Parliament in the United Kingdom,1983-06-09,1997-05-01
c5f3e87c-b887-4915-866f-9766395faeb2,Simon Thomas,Member of Parliament in the United Kingdom,2000-01-10,2005-05-05
