uuid,female,male,other,skip,total
004d331c-886c-4ee9-8b5c-0960d464c497,0,1,0,2,3
04e6ef40-7a5a-4aa8-a696-2447361145e2,0,0,0,1,1
226a2eee-70a5-4c46-8fcb-51dc7c429d59,0,1,0,2,3
27a7925a-8a28-48f6-bd70-e2f5ec326beb,0,0,0,3,3
27da5858-53fe-4e9f-b132-c51af634e3d5,0,0,0,3,3
6d2748c9-a149-4a46-a940-dd2edc6cdf47,0,1,0,3,4
8277e5e2-5983-4f6f-8553-97af9a89aebb,0,0,0,1,1
8d4e3072-b63e-4bf5-80e0-b69f3ad3674b,0,0,0,1,1
8e96f804-14ba-4e54-8254-3ca5b40fecff,0,0,0,1,1
9b72848f-83e1-44df-9552-52ca9f1c5352,0,0,0,3,3
a348be19-6dd8-4447-b268-65b4e99faa64,0,0,0,2,2
a6274631-0ee9-4446-bb00-30db59151434,0,0,0,1,1
a73fc470-8769-41ac-893d-b07798cfbf11,0,1,0,1,2
bf7400dc-d5d0-4654-b778-31d102a15a28,0,0,0,1,1
c4409077-d6dc-459a-a04d-fa64166d4cc8,1,0,0,2,3
c74d59f7-1ff8-4ce0-b4a9-c0af07a92a4a,0,0,0,1,1
d3004f1c-3337-40ee-9df2-724d66a18060,0,0,0,3,3
d674f7fb-51e8-4228-94aa-a7c7700038cf,0,0,0,4,4
df04c47d-defa-4cea-8b77-0b9c117cdd25,0,1,0,4,5
eef98109-a6a7-4efc-842a-11f5e9a5aa58,0,0,0,3,3
