id,name,sort_name,gender,summary,twitter,image,image_source
1,Dorcas Sibanda,"Sibanda, Dorcas",female,Bulawayo Central Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/dorcas-sibanda.jpg,http://itsdelta.files.wordpress.com/2012/03/dorcas-sibanda.jpg
2,Thabitha Khumalo,"Khumalo, Thabitha",female,Bulawayo East Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/khumalo-Thabitha.jpg,http://www.theindependent.co.zw/wp-content/uploads/2013/09/khumalo-main.jpg
3,Edward G. Cross,"Cross, Edward G.",male,Bulawayo South Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/Eddie_Cross.jpg,http://leadengine.co/images/block/141687efc2a0c12407d580cea44595e7.jpg
4,Dingilizwe Tshuma,"Tshuma, Dingilizwe",male,Emakhandeni-Entumbane Member of National Assembly,,,
5,Samuel Sipepa,"Sipepa, Samuel",male,Lobengula Member of the National Assembly and Former Minister of Water Resources Development and Management (2009-2013),,http://www.kuvakazim.com/media_root/images/Samuel_Sipepa_Nkomo.jpeg,http://www.thezimbabwemail.com/templates/xhtml/add_ons/thumb.php?src=http://www.thezimbabwemail.com/files/sam_sipepa_nkomo_281161808.jpg&h=300&w=336&q=100&zc=1
6,Reggie Moyo,"Moyo, Reggie",male,Luveve Member of the National Assembly.,,,
7,Anele Ndebele,"Ndebele, Anele",male,Magwegwe Member of National Assembly.,,,
8,Gorden Moyo,"Moyo, Gorden",male,Makokoba Member of the National Assembly & Former Minister of State Enterprises and Parastatals (2010-2013),,http://www.kuvakazim.com/media_root/images/Gorden-Moyo.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/06/Gorden-Moyo.jpg
9,Phelele Masuku,"Masuku, Phelele",male,Nketa Member of the National House of Assembly.,,,
10,Thamsanqa Mahlangu,"Mahlangu, Thamsanqa",male,Nkulumane Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/thamsanqa-mahlangu.jpg,AFP
11,Bekithemba Nyathi,"Nyathi, Bekithemba",male,Pelandaba Mpopoma Member of National Assembly,,,
12,Albert Mhlanga,"Mhlanga, Albert",male,Pumula Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/mhlangaalbert.jpg,http://nehandaradio.com/wp-content/uploads/2012/03/mhlangaalbert.jpg
13,Costa Machingauta,"Machingauta, Costa",male,Budiriro Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/Machingauta_1.jpg,http://4.bp.blogspot.com/-asxu4QwMtd4/UJPlMsR79mI/AAAAAAAAAQ8/8X8to3ER1d0/s1600/Machingauta.jpg
14,Godfrey Sithole,"Sithole, Godfrey",male,,,,
15,Christopher Chigumba,"Chigumba, Christopher",male,Chitungwiza South Member of National Assembly,,,
16,Solomon Madzore,"Madzore, Solomon",male,Dzivaresekwa Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/solozm.jpg,https://www.newsday.co.zw/wp-content/uploads/2013/05/madzore.jpg
17,Amos Midzi,"Midzi, Amos",male,Epworth Member of the National Assembly. Former Minister of Energy and Power Development (2002 -2004) and Minister of Mines and Mining Development (2004 -2009).Also former Ambassador to the United States (1993).,,http://www.kuvakazim.com/media_root/images/amos_midzi.jpg,http://www.herald.co.zw/wp-content/uploads/2011/05/00000amos%20midzi.jpg
18,Webster Maondera,"Maondera, Webster",male,Glen Norah Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/Webster_Maondera.jpg,Facebook
19,Fani Munengami,"Munengami, Fani",male,Glenview North Member of National Assembly,,,
20,Paul Madzore,"Madzore, Paul",male,Glen View South Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/Paul_Madzore.jpg,http://4.bp.blogspot.com/-0SAqUgHIU2o/Ujf7RnCgRXI/AAAAAAABGAg/k_pnMCKP_XY/s1600/MADZ.jpg
21,Murisi Zwizwai,"Zwizwai, Murisi",male,Harare Central Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/Murisi_Zwizwai.jpg,http://www.swradioafrica.com/faces/Murisi%20Zwizwai.jpg
