id,name__en,name__nl,name__de,name,wikipedia__en,gender,original_wikiname,name__es,name__fr,name__it,birth_date,given_name,wikipedia__commons,identifier__VIAF,identifier__SUDOC,name__pl,name__ko,name__sv,name__nb,name__eo,wikipedia__de,wikipedia__fr,wikipedia__ko,wikipedia__no,wikipedia__pl,wikipedia__sv,image,identifier__LCAuth,identifier__freebase
Q16195944,Fortune Chasi,Fortune Chasi,Fortune Chasi,Fortune Chasi,Fortune Chasi,male,Fortune Chasi,,Fortune Chasi,Fortune Chasi,1965-02-05,,,,,,,,,,,,,,,,,,
Q16207702,Nelson Chamisa,Nelson Chamisa,Nelson Chamisa,Nelson Chamisa,Nelson Chamisa,male,Nelson Chamisa,,Nelson Chamisa,Nelson Chamisa,1978-02-28,Nelson,,,,,,,,,,,,,,,,,
Q5147035,Collen Gwiyo,Collen Gwiyo,Collen Gwiyo,Collen Gwiyo,Collen Gwiyo,male,Collen Gwiyo,,,,,,,,,,,,,,,,,,,,,,
Q5231960,David Butau,David Butau,David Butau,David Butau,David Butau,male,David Butau,David Butau,David Butau,David Butau,1957-01-12,David,,,,,,,,,,,,,,,,,
Q5274292,Didymus Mutasa,,Didymus Mutasa,Didymus Mutasa,Didymus Mutasa,male,Didymus Mutasa,,Didymus Mutasa,,1935-07-27,Didimo,Category:Didymus Mutasa,277840396,165998822,,,,,,,,,,,,,,
Q5360562,Elias Mudzuri,,Elias Mudzuri,Elias Mudzuri,Elias Mudzuri,male,Elias Mudzuri,,,Elias Mudzuri,,Elias,,,,,,,,,,,,,,,,,
Q5367868,Elton Mangoma,,Elton Mangoma,Elton Mangoma,Elton Mangoma,male,Elton Mangoma,,,Elton Mangoma,,Elton,,,,,,,,,,,,,,,,,
Q5387062,Eric Matinenga,,Eric Matinenga,Eric Matinenga,Eric Matinenga,male,Eric Matinenga,,,Eric Matinenga,,Eric,,,,,,,,,,,,,,,,,
Q6875513,Misheck Kagurabadza,,Misheck Kagurabadza,Misheck Kagurabadza,Misheck Kagurabadza,male,Misheck Kagurabadza,,,,,,,,,,,,,,,,,,,,,,
Q7025447,Nicholas Goche,Nicholas Goche,Nicholas Goche,Nicholas Goche,Nicholas Goche,male,Nicholas Goche,,Nicholas Goche,Nicholas Goche,1946-08-01,Nicholas,,,,,,,,,,,,,,,,,
Q7155466,Paurina Mpariwa,Paurina Mpariwa,Paurina Mpariwa,Paurina Mpariwa,Paurina Mpariwa,female,Paurina Mpariwa,Paurina Mpariwa,,,,,,,,,,,,,,,,,,,,,
Q7412813,Samuel Undenge,,Samuel Undenge,Samuel Undenge,Samuel Undenge,male,Samuel Undenge,,,Samuel Undenge,,Samuel,,,,,,,,,,,,,,,,,
Q7428343,Saviour Kasukuwere,Saviour Kasukuwere,Saviour Kasukuwere,Saviour Kasukuwere,Saviour Kasukuwere,male,Saviour Kasukuwere,Saviour Kasukuwere,Saviour Kasukuwere,,1970-10-23,,,,,,,,,,,Saviour Kasukuwere,,,,,,,
Q7507257,Sibonile Nyamudeza,,Sibonile Nyamudeza,Sibonile Nyamudeza,Sibonile Nyamudeza,male,Sibonile Nyamudeza,,,,,,,,,,,,,,,,,,,,,,
Q981736,Joice Mujuru,Joice Mujuru,Joice Mujuru,Joice Mujuru,Joice Mujuru,female,Joice Mujuru,Joice Mujuru,Joice Mujuru,,1955-04-15,Joyce,,73294297,,Joyce Mujuru,조이스 무주루,Joice Mujuru,Joice Mujuru,Joice Mujuru,Joice Mujuru,Joice Mujuru,조이스 무주루,Joice Mujuru,Joyce Mujuru,Joice Mujuru,https://upload.wikimedia.org/wikipedia/commons/8/88/Joice_Mujuru_at_Horasis_Global_Arab_Business_Meeting_2012_crop.jpg,n2006201400,/m/04zjh2
