id,uuid
kennedy-mangowa-matimba,011089e3-06a0-4d60-b244-d7d1677dc0e9
sipho-dube,028b8ac6-9d61-4405-9869-905dcf8b31c0
cephas-sindi,059ee8cc-18b9-42f6-a00d-2dd654044462
zenzo-sibanda,1108c6d7-b40a-4597-94d9-75445ba040d1
soul-ncube,153a802f-515d-4b51-a654-c99eac44fe3b
paradzai-mutandwa-chakona,189a289e-4e2f-47d8-a464-312143655729
justice-mayor-wadyajena,24ec7413-3fed-4314-b390-b03f4f275054
harries-ncube,27f6c9b1-1c9e-4601-be11-b2c062eec662
melania-mahiya,2d3fb081-7099-48be-9539-94faa4a02f36
anastancia-ndlovhu,2e08e7ed-ab3a-462f-bfe6-3d8dafb7ab82
shadreck-mashayamombe,31f2f564-00e4-4d0e-8c7c-befba4fef091
paul-chimedza,32c2c191-3d3e-47d8-a32e-5a5015fa8357
mabel-memory-chinomona,33a8a270-99c9-435a-b3d8-66486e865558
tendayi-makunde,3cdbeefb-f72b-44f8-b94f-11740a68fea8
james-maridadi,4467c763-936e-4e3a-975b-281b0586e3c1
william-mutomba,44bfd6ef-ad19-41fc-9383-59f254bee19a
david-chapfika,45ef46ef-8c15-42df-83da-130dd606d001
robert-mukwena,46d8abc3-6b03-4826-8bbe-8e22b1c235d4
luke-phibion-masamvu,4a4fb767-b7f2-433f-bee6-8e48416c7e2d
prosper-chapfiwa-mutseyami,4e330a25-b6ca-4b20-8801-cbc0317b4cb4
owen-ncube,50ebbde6-c009-416e-acc0-7c42b9ae4fb8
godfrey-karakadzayi-sithole,56efeaed-b8ba-48e9-b3e9-e600a3e91686
marbel-matirangana-nkatazo,5f767a39-4533-4863-8b60-29c6016107e2
jeffrey-moses-runzirwayi,6189a444-6907-453f-a669-729a40be250f
erick-murai,62f2246f-99e9-4f7a-a786-0766b3d37038
obedingwa-mguni,6ff62d8e-70c5-4af4-b8df-e95508d52f52
daniel-mackenzie-ncube,71eac4f9-a03e-4580-bf6d-ae5203fc4bae
rossy-ngozi-mpofu,7682f918-2395-44cb-a4f7-972d43393739
ezira-ruvai,78c6ceab-64f7-428e-b4e7-0f2d37695f15
irene-zindi,78c794d3-5a7d-4166-9c1e-24bb03bc9741
anele-ndebele,79671961-22b7-4ff0-b201-b00f3b2ebfa0
unganai-dickson-tarusenga,7bd3e99f-5023-4191-8eee-fecb519650a6
robson-mavenyengwa,7d43a319-3a5c-44af-bfde-20dd65331dad
tose-wesley-sansole,83dcaba9-1dcb-4ab1-99c6-aaee92a90a18
madodana-sibanda,853714c1-569b-4cab-99c4-192c679774b6
felix-tapiwa-mhona,8f4baff2-fdfc-4841-964f-f3163419fa06
kizito-chivamba,8f54ae97-7818-4e0a-a891-6b5c3b5b5803
leonard-chikomba,9128c3d3-28a7-4b95-a3a0-469e20f3361d
jessie-fungayi-majome,9466549d-52e6-4365-a732-651da9cb9303
innocent-tinashe-gonese,963a6d60-07b9-49c3-9959-cf795ffb9b63
webster-maondera,970274bf-f4a8-4154-aa1d-bbee67b5960a
bekithemba-mpofu,9a58e8be-9f9f-4cdd-8f56-5da9ccd9a9b0
margaret-matienga,9ded0a36-ac50-4736-b4ad-7a7e53efa40f
lilian-zemura,9e9e58f7-427f-49e0-878c-de5e5cf4abf3
jenifer-nomsa-mhlanga,a4dd55a7-71b1-448d-8e69-f2959ca949a8
remigious-toendepi-matangira,a8404289-f6af-4970-b892-e78e6fc73401
teti-banda,aa8604c0-1f52-4b15-b44d-23f32b6ec4e7
dorcas-sibanda,ae2b5210-1575-426a-95d0-08b19373b13a
sithembile-gumbo,be378d4c-d3ac-4f8b-af0f-784afeb52055
raymore-machingura,c3a3991e-e662-413e-ad00-814bb61a4b9d
john-holder,c553e4cb-e5b0-482b-9e65-8879e3f5a250
jeppy-jaboon,c6776595-c0b7-42fd-b850-db819e5d27a7
wonder-mashange,c7edb148-c520-4e36-8772-f4a870bf2054
josephat-madubeko,cd575780-98b6-4f93-9737-96f02fb57dff
lamson-moyo,d34f35b0-8d4f-4ca0-ac60-65a2a773f405
nomathemba-ndlovu,d4f226e0-5fad-4cd5-959b-8b8f0c9d1356
adam-chimwamurombe,d64d37af-a10b-4241-8296-fe44c0c16e52
nyasha-eunice-annie-grace-chikwinya,dbddd8e1-79bf-4ce4-a3e2-e6face55b51d
ladislus-fungayi-ndoro,de168739-5d05-49e8-ab1e-d5348c05fa58
prince-dubeko-sibanda,e134daf9-7f1b-47ef-bde5-75b11353c18f
kazembe-raymond-kazembe,e1973afb-5fd1-4ca9-8a32-a9e292dbaa53
jacob-francis-mudenda,f8a23f87-4bb9-4227-9682-ddc6083b8322
mabel-kaundikiza,fbf2b04f-827d-4fe7-b97e-14884d911161
mike-gava,fcb67dda-4e74-410d-945d-ffc5a9487ae6
