identifier__kuvakazim,name,area,party,term,start_date,end_date
220,Flora Buka,Midlands,ZANU PF,8,,
222,Miriam Chikukwa,Harare,ZANU PF,8,,
229,Sikhanyisiwe Mpofu,Matebeleland North,ZANU PF,8,,
231,Molly Mkandla,Matebeleland North,ZANU PF,8,,
232,Lwazi Sibanda,Matebeleland North,MDC-T,8,,
235,Thokozani Khupe,Bulawayo,MDC-T,8,,
280,Agnes Sibanda,Bulawayo,MDC-T,8,,
281,Siphiwe Ncube,Bulawayo,MDC-T,8,,
283,Tholakele Khumalo,,MDC,8,,
287,Rorana Muchihwa,Hwata,MDC-T,7,,2013-07-01
287,Rorana Muchihwa,Harare,MDC-T,8,,
288,Monica Mutsvangwa,Manicaland,ZANU PF,8,,
289,Judith Mawire,Manicaland,ZANU PF,8,,
291,Alice Chimbudzi,Mashonaland central,ZANU PF,8,,
292,Jenia Manyeruke,Mashonaland central,ZANU PF,8,,
294,Martha Muronzi,Mashonaland central,MDC-T,8,,
296,Rosemary Goto,Mashonaland East,ZANU PF,8,,
298,Jane Chifamba,Mashonaland East,MDC-T,8,,
300,Virginia Muchenje,Mashonaland West,ZANU PF,8,,
301,Violet Moeketsi,Mashonaland West,MDC-T,8,,
305,Alphina Juba,Matebeleland North,MDC-T,8,,
306,Rosemary Nyathi,Mashonaland North,MDC-T,8,,
308,Medelina Bhebhe,Mashonaland North,ZANU PF,8,,
310,Alma Mkhwebu,Matebeleland South,ZANU PF,8,,
310,Alma Mkhwebu,Mashonaland South,ZANU PF,8,,
311,Sithembile Mlotshwa,Mashonaland South,MDC-T,8,,
312,Joyce Ndhlovu,Matebeleland South,MDC,8,,
312,Joyce Ndhlovu,Matebeleland South,MDC,8,,
315,Address Matiirira,Mashonaland East,ZANU PF,8,,
316,Angelina Masuku,Bulawayo,ZANU PF,8,,
317,Cain G. Mathema,Mashonaland North,ZANU PF,8,,
318,Charles Tawengwa,Harare,ZANU PF,8,,
319,Chenhamo C. C. Chimutengwede,Mashonaland central,ZANU PF,8,,
321,Damian D. E. Mumvuri,Mashonaland central,ZANU PF,8,,
322,Dorothy Tholakele Khumalo,Bulawayo,MDC,8,,
323,Dzikamai Calisto Mavhaire,Masvingo,ZANU PF,8,,
324,Edna Madzongwe,Mashonaland West,ZANU PF,8,,
325,Farirai Ethel Mabhungu,Masvingo,MDC-T,8,,
326,Grace Tsitsi Jadagu,Harare,ZANU PF,8,,
327,Herbert M. Sinampande,Matebeleland North,MDC-T,8,,
328,Jaison Max Korerai Machaya,Midlands,ZANU PF,8,,
329,James Makore,Harare,MDC-T,8,,
330,Josiah D. Hungwe,Masvingo,ZANU PF,8,,
331,Keresina Chabuka,Manicaland,MDC-T,8,,
332,Kumbirai Kangai,Manicaland,ZANU PF,8,,
333,Lilian Timveos,Midlands,MDC-T,8,,
334,Mail Nkomo,Matebeleland North,ZANU PF,8,,
335,Matson M. Hlalo,Bulawayo,MDC-T,8,,
336,Michael Norman Carter,Bulawayo,MDC-T,8,,
337,Michael R. Nyambuya,Manicaland,ZANU PF,8,,
338,Mike M. Byton,Mashonaland West,ZANU PF,8,,
339,Misheck Marava,Masvingo,MDC-T,8,,
340,Mlotshwa Sithembile,Matebeleland South,MDC-T,8,,
341,Monicah Mavhunga,Mashonaland central,ZANU PF,8,,
342,Morgen Komichi,Midlands,MDC-T,8,,
343,Muhlava Otilia Maluleke,Masvingo,ZANU PF,8,,
344,Olivia N. Muchena,Mashonaland East,ZANU PF,4,,
344,Olivia N. Muchena,Mashonaland East,ZANU PF,5,,
344,Olivia N. Muchena,Mashonaland East,ZANU PF,6,,
344,Olivia N. Muchena,Mashonaland East,ZANU PF,7,,
344,Olivia N. Muchena,Mashonaland East,ZANU PF,8,,
345,Pagwese David Parirenyatwa,Mashonaland East,ZANU PF,8,,
346,Patrick Chitaka,Manicaland,MDC-T,8,,
347,Prisca Mupfumira,Mashonaland West,ZANU PF,8,,
348,Ruth Mafoko Labode,Matebeleland North,MDC-T,8,,
349,Sekai Masikana Holland,Harare,MDC-T,8,,
350,Shuvai Ben Mahofa,Masvingo,ZANU PF,8,,
351,Sibusisiwe Budha,Matebeleland North,MDC-T,8,,
353,Simon K. Moyo,Matebeleland South,ZANU PF,8,,
354,Sydney T. Sekeramayi,Mashonaland East,ZANU PF,8,,
355,Tambudzani B. Mohadi,Matebeleland South,ZANU PF,6,,
356,Tapera Machingaifa,Mashonaland West,ZANU PF,8,,
357,Thokozile A. Mathuthu,Mashonaland North,ZANU PF,8,,
358,Tsitsi V. Muzenda,Midlands,ZANU PF,8,,
359,Watchy Sibanda,Matebeleland South,MDC-T,8,,
