id,name,gender,summary,image,image_source
1,Dorcas Sibanda,female,Bulawayo Central Member of the National Assembly,http://www.kuvakazim.com/media_root/images/dorcas-sibanda.jpg,http://itsdelta.files.wordpress.com/2012/03/dorcas-sibanda.jpg
2,Thabitha Khumalo,female,Bulawayo East Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/khumalo-Thabitha.jpg,http://www.theindependent.co.zw/wp-content/uploads/2013/09/khumalo-main.jpg
3,Edward G. Cross,male,Bulawayo South Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/Eddie_Cross.jpg,http://leadengine.co/images/block/141687efc2a0c12407d580cea44595e7.jpg
4,Dingilizwe Tshuma,male,Emakhandeni-Entumbane Member of National Assembly,,
5,Samuel Sipepa,male,Lobengula Member of the National Assembly and Former  Minister of Water Resources Development and Management (2009-2013),http://www.kuvakazim.com/media_root/images/Samuel_Sipepa_Nkomo.jpeg,http://www.thezimbabwemail.com/templates/xhtml/add_ons/thumb.php?src=http://www.thezimbabwemail.com/files/sam_sipepa_nkomo_281161808.jpg&h=300&w=336&q=100&zc=1
6,Reggie Moyo,male,Luveve Member of the National Assembly.,,
7,Anele Ndebele,male,Magwegwe Member of National Assembly.,,
8,Gorden Moyo,male,Makokoba Member of the National Assembly & Former Minister of State Enterprises and Parastatals (2010-2013),http://www.kuvakazim.com/media_root/images/Gorden-Moyo.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/06/Gorden-Moyo.jpg
9,Phelele Masuku,male,Nketa Member of the National House of Assembly.,,
10,Thamsanqa Mahlangu,male,Nkulumane Member of the National Assembly,http://www.kuvakazim.com/media_root/images/thamsanqa-mahlangu.jpg,AFP
11,Bekithemba Nyathi,male,Pelandaba Mpopoma Member of National Assembly,,
12,Albert Mhlanga,male,Pumula Member of the National Assembly,http://www.kuvakazim.com/media_root/images/mhlangaalbert.jpg,http://nehandaradio.com/wp-content/uploads/2012/03/mhlangaalbert.jpg
13,Costa Machingauta,male,Budiriro Member of the National Assembly,http://www.kuvakazim.com/media_root/images/Machingauta_1.jpg,http://4.bp.blogspot.com/-asxu4QwMtd4/UJPlMsR79mI/AAAAAAAAAQ8/8X8to3ER1d0/s1600/Machingauta.jpg
14,Godfrey Sithole,male,,,
15,Christopher Chigumba,male,Chitungwiza South Member of National Assembly,,
16,Solomon Madzore,male,Dzivaresekwa Member of the National Assembly,http://www.kuvakazim.com/media_root/images/solozm.jpg,https://www.newsday.co.zw/wp-content/uploads/2013/05/madzore.jpg
