id,uuid
jane-chifamba,068e9451-6c1d-4add-bd66-1b0d78817ae6
damian-diamonds-elias-mumvuri,12b52991-e46d-4ec4-a598-497458ec6682
edna-madzongwe,141ed0d7-8a5f-415e-9dcd-04425d5a918f
martha-muronzi,21baa68a-7e9a-42b2-851b-4c4fddd50532
sithembile-mlotshwa,2444e830-fe08-436f-88d0-0443504c04e0
lilian-timveos,28a9d5c7-42f8-4492-ad2a-45e8ace060d4
josaya-hungwe,293ae5d1-e260-4c39-8cf0-9b2594f23fbf
medelina-bhebe,31fcda44-a079-45e7-ad88-0b319f7bd874
flora-buka,338ff3bf-ff63-4e5d-a405-496fac227f49
joyce-ndlovu,43fd344d-20d5-4fa2-a1a7-67c9a0016c37
cain-mathema,4c38c3ae-cabf-4dbe-a307-67898d664a46
chen-chenhamo-chakezha-chimutengwende,50c06ed1-1c34-41ef-bf87-cdb7fad00230
dorothy-tholakele-khumalo,57801f32-edf1-49c5-b9b5-4faf419849f8
alice-chimbudzi,585613d3-5c9a-492d-994b-3acba8828fd7
misheck-marava,5cf83ebd-ef11-4f2b-a95a-743e57f2eaa3
tapera-machingaifa,73332a26-5f7e-42cb-9942-dd20d4d3c648
grace-tsitsi-jadagu,7d36228c-b876-4d13-97f6-f0b1515e8220
shuvai-mahofa,7f09a9fb-bd90-450d-9c84-0de512747af8
micheal-carter,8d143647-ddd3-4f12-bf53-f7ac16929bcc
alphina-juba,93c58a43-9f12-4755-b309-cc0d69c8aea2
angelinah-masuku,a3c33d8e-ee77-4088-a189-0c99b69cf8cb
rosemary-nyathi,d6f50110-074f-4087-98c4-e8d89047a2e5
