id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
9404de04-e3e1-42b1-a1a8-e380295a6572,Charles E. Mills,Charles E. Mills,,,,LP,lp,1984-6,Newton Ground-Harris,National Assembly,1984,,,,
7025c742-93a0-4d99-97c6-67e175891aa1,Constance Mitcham,Constance Mitcham,,,,PAM,pam,1984-4,Half Way Tree,National Assembly,1984,,,,
ad63167a-858c-405b-851a-227e6433ecb0,Hugh Heyliger,Hugh Heyliger,,,,PAM,pam,1984-5,St. Anne Parish,National Assembly,1984,,,,
afbebfd9-04d4-4a7e-b0d2-372605ac4213,Ivor Stevens,Ivor Stevens,,,,NRP,nrp,1984-9,St. John's and St. Paul's,National Assembly,1984,,,,
33bfa029-f484-465e-bdaa-43f127414787,Joseph N. France,Joseph N. France,,,,LP,lp,1984-3,Basseterre West,National Assembly,1984,,,,
bce1dd07-e602-4c95-9118-5babd8e09233,Kennedy Alphonso Simmonds,Kennedy Alphonso Simmonds,,,,PAM,pam,1984-2,Basseterre Central,National Assembly,1984,,,,
595d85a2-3d99-4287-8b42-ccba5e6d16fb,Michael Oliver Powell,Michael Oliver Powell,,,,PAM,pam,1984-1,Basseterre East,National Assembly,1984,,,,
3fc657af-63c0-45d6-b3e3-842fb9172c9a,Roy Jones,Roy Jones,,,,PAM,pam,1984-7,Belle Vue-Ottley's,National Assembly,1984,,,,
4ab15b51-f7b4-4589-ba9e-9011231e4c84,Simeon Daniel,Simeon Daniel,,,,NRP,nrp,1984-11,St. Thomas's and St. James's,National Assembly,1984,,,,
889201a3-95c6-4633-8b35-56680e20d543,Sydney Morris,Sydney Morris,,,,PAM,pam,1984-8,Ottley's-St. Peter's,National Assembly,1984,,,,
