id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
3e406fb7-efd7-49dc-b75c-eb0bd9e8ac64,Adama TIENDREBEOGO,"TIENDREBEOGO, Adama",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
9f850109-fc9b-4ca3-9680-cd9e32dace58,Adoua DICKO/AGALOUE,"DICKO/AGALOUE, Adoua",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
7f51b6cc-eb53-4c5b-9413-d2860954e992,Alain Guy Richard ILBOUDO,"ILBOUDO, Alain Guy Richard",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
fa8e3d8b-3719-4ad4-b1b5-967850ae2e99,Amadou DABO,"DABO, Amadou",,,,ADF/RDA,rda,,,Assemblée Nationale,1,,,,
0fab5ece-8a3d-4aff-b13d-ed384a024e5c,Amadou DICKO,"DICKO, Amadou",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
fc25ec94-6ac0-4507-893a-4256bab14ce8,Amadou YAYA,"YAYA, Amadou",,,,ADF/RDA,rda,,,Assemblée Nationale,1,,,,
6c4c4d89-b39d-4cb2-9816-d1a0fa71131b,Amirou DICKO,"DICKO, Amirou",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
0a659042-70b7-45f2-b541-776b49cdf86e,Andr CONGO,"CONGO, Andr",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
808a11e6-ef0b-4cea-a7ce-b9330a944d91,BONGNESSAN Arsne YE,"YE, BONGNESSAN Arsne",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
4c6cb20e-d86b-4172-8631-aa97b9d013a0,Bapougouni Ren Bernard YONLI,"YONLI, Bapougouni Ren Bernard",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
63ae70a5-0f97-42b3-a782-4a6eb8b50abf,Barthlmy KORBOGO,"KORBOGO, Barthlmy",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
43e8ec53-5ae0-4d29-ab29-2fdca23cae8a,Batian BENAO,"BENAO, Batian",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
1299c46d-4c1d-4b68-93e4-af69e7d15713,Batio Isae TRAOR,"TRAOR, Batio Isae",,,,ADF/RDA,rda,,,Assemblée Nationale,1,,,,
bf341d74-9f4e-4feb-9b7e-f0ee484529cf,Bayouwa Innocent DAKOUO,"DAKOUO, Bayouwa Innocent",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
d987e2ca-865b-4e86-95f2-9ba155230bc6,Benot LOMPO,"LOMPO, Benot",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
7d576b05-9680-4997-86b9-457274a368f6,Bertin OUIYA,"OUIYA, Bertin",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
c77f3941-9d23-48c1-8f2e-2d452f849f9d,Bila Ignace SAWADOGO,"SAWADOGO, Bila Ignace",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
3499da7a-be24-4445-b5e2-aa642f102ce5,Bli Etienne GUE,"GUE, Bli Etienne",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
5e295b70-570f-45c2-bb73-543e6e447000,Bok DRABO,"DRABO, Bok",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
e83b737d-fc26-43da-951c-6f0473264b41,Bouarimani NIDJERGOU,"NIDJERGOU, Bouarimani",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
f4ba76f3-5701-4234-bb96-f4f754646f2d,Boubacar DICKO,"DICKO, Boubacar",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
0fedc0d3-e968-434a-918c-18236e221e15,Bouri Roger ZOMBR,"ZOMBR, Bouri Roger",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
c4450d27-46db-4aca-b237-f30e9fb86724,Clment SANON,"SANON, Clment",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
82848069-8fcd-4d43-9986-7e24e09f2c10,Cyril GOUNGOUGA,"GOUNGOUGA, Cyril",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
aefaaa3a-0807-47f0-902a-2d06846a7b3b,D. Boubacar NAMOUNTOUGOU,"NAMOUNTOUGOU, D. Boubacar",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
0209bc07-bdf1-4eef-88d0-2c96884e3247,D. Thodore SAWADOGO,"SAWADOGO, D. Thodore",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
8c3dd965-50fb-4a39-b21e-0d18d24217a7,Daouda BAYILI,"BAYILI, Daouda",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
dd1ac008-2a15-42fc-8a2d-5724580a53f3,Dasman ZEBA,"ZEBA, Dasman",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
6bbfee2c-3aca-4b2b-8fcc-b3b84cd659b3,Diamnongodo Sbastien LALLOGO,"LALLOGO, Diamnongodo Sbastien",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
56787652-7913-4379-ad2a-f450ca364491,Dieudonn BONANET,"BONANET, Dieudonn",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
3a9925c7-91f6-4be3-88d5-52f77fc3a26e,Dimfangodo SAWADOGO,"SAWADOGO, Dimfangodo",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
3644c6dc-f709-4546-9b8a-3d972b60fc90,Djibril TALL,"TALL, Djibril",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
12043eb4-83be-4fae-8971-83eb4e2323be,Djibrilou Yro TAMBOURA,"TAMBOURA, Djibrilou Yro",,,,ADF/RDA,rda,,,Assemblée Nationale,1,,,,
8e160fd3-a2e4-49a9-a078-e6751a31e603,Doussoum Paul MILLOGO,"MILLOGO, Doussoum Paul",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
9383fb68-4bf7-48a5-95ad-78cc0d901fac,Drissa CISS,"CISS, Drissa",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
6f91f79a-40e0-4977-a9ff-a8fa0b0eeb0e,Etienne BADO,"BADO, Etienne",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
24320e20-6549-4326-bef1-8fb3c5ea87c3,F. Odette COULIBALY /S,"COULIBALY /S, F. Odette",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
0ba5fdd0-0e20-4bd2-99fe-8761b0dded84,Fatimata LEGMA,"LEGMA, Fatimata",,,,ADF/RDA,rda,,,Assemblée Nationale,1,,,,
a76d387f-a0ba-458b-83c0-4a1108dade71,Fidle LANKOAND,"LANKOAND, Fidle",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
9023fa54-8ac9-439c-bc2a-c01a78c91b0b,H. Jean-Pierre SOULAMA,"SOULAMA, H. Jean-Pierre",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
42c9bd30-4866-4e48-b92b-129ecf7fbc76,Hamadou Amadou MAGA,"MAGA, Hamadou Amadou",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
716aafd4-01a7-4aef-8a27-38306334e2c2,Hamadou OUDRAOGO,"OUDRAOGO, Hamadou",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
ceae0fb3-8617-4f5e-bb33-d71186ef0425,Hamidou Emile SAVADOGO,"SAVADOGO, Hamidou Emile",,,,ADF/RDA,rda,,,Assemblée Nationale,1,,,,
dc29c91a-ad12-436c-8bc0-6d35dd345884,Hamidou OUDRAOGO,"OUDRAOGO, Hamidou",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
981afcbb-9e97-469a-9e1d-b3c54829e7dc,Hamidou TIMOGO,"TIMOGO, Hamidou",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
e3aa8c4e-9bb3-4537-a111-30a26f985125,Hyacinthe SANWIDI,"SANWIDI, Hyacinthe",,,,unknown,unknown,,,Assemblée Nationale,1,,,,
