id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
401d2e16-430f-46bb-9498-6afb4621323c,Adilson Silva Fernandes,Adilson Silva Fernandes,,,,MPD,MPD,area/santo_antão,Santo Antão,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=296,
fbc94b6e-ddeb-4031-8ae3-6425c6cfb62c,Alberto Mendes Montrond,Alberto Mendes Montrond,,,,MPD,MPD,area/américa,América,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=300,
1dce81ca-d9ca-4cb6-b2d1-8b301f74e58b,Alcides Monteiro de Pina,Alcides Monteiro de Pina,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=402,
9765c7a5-e7f2-4ba9-867d-5d775ff4ab16,Alexandre Dias Monteiro,Alexandre Dias Monteiro,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=360,
90ecbaea-bf6e-49c1-bab4-3256b42c1d12,Américo Sabino Soares Nascimento,Américo Sabino Soares Nascimento,,,,PAICV,PAICV,area/são_nicolau,São Nicolau,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=325,
7f23d282-414d-43ca-bb73-ff936d6c8589,Ana Paula Dias Santos,Ana Paula Dias Santos,,,,PAICV,PAICV,area/sal,Sal,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=326,
bf0603ba-4dde-47b3-a58b-c66bedb932b3,Ana Paula Elias Curado Moeda,Ana Paula Elias Curado Moeda,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=327,
29c39239-50d9-49f8-ae22-ea7fd16906d6,Anilda Ineida Monteiro Tavares,Anilda Ineida Monteiro Tavares,,,,MPD,MPD,area/santiago_norte,Santiago Norte,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=400,
bd67e698-695c-4f9f-936b-32eefe7b1e7d,António Delgado Monteiro,António Delgado Monteiro,,,,UCID,UCID,area/são_vicente,São Vicente,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=350,
dfaeb749-02bb-4fd2-b7af-970bec55b503,Aníbal Azevedo Fonseca,Aníbal Azevedo Fonseca,,,,MPD,MPD,area/santo_antão,Santo Antão,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=408,
