id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
3c894e9c-4d7e-4e3f-9599-d1d037bf8555,Analdo Terrelonge,Analdo Terrelonge,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_east_central,St. Catherine East Central,House of Representatives,2011,,,,
84a9a8d8-c4fb-4fc4-bb15-dcdaaa3a0c12,Andre Hylton,Andre Hylton,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east,St. Andrew East,House of Representatives,2011,,,,
3eeb8130-3b7e-4e63-9dc0-3459527c4719,Andrew Holness,Andrew Holness,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_west_central,St. Andrew West Central,House of Representatives,2011,,,https://upload.wikimedia.org/wikipedia/commons/8/82/Andrew_Holness.png,male
ceb54a82-6f64-4172-b72d-3d93fd47508b,Andrew Wheatley,Andrew Wheatley,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_central,St. Catherine South Central,House of Representatives,2011,,,,
da1da651-8b41-4979-a5b7-860659725f79,Anthony Hylton,Anthony Hylton,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_western,St. Andrew Western,House of Representatives,2011,,,,male
a059bb7d-216b-4c03-a902-736edb3e57d8,Arnaldo Brown,Arnaldo Brown,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_east_central,St. Catherine East Central,House of Representatives,2011,,,,
712b8a15-469e-45ba-8be7-060ac1a54282,Audley Shaw,Audley Shaw,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:manchester/constituency:manchester_north_eastern,Manchester North Eastern,House of Representatives,2011,,,https://upload.wikimedia.org/wikipedia/commons/3/33/Audley_Shaw.jpg,male
f761202f-f682-4789-871f-49aef7f862a1,Christopher Tufton,Christopher Tufton,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_west_central,St. Catherine West Central,House of Representatives,2011,,,,
5548ed58-e210-4a90-9e61-ecb2d5bb4c74,Colin Fagan,Colin Fagan,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_eastern,St. Catherine South Eastern,House of Representatives,2011,,,,
e2bc88a3-2707-43e1-8e33-f6ce8f832ff5,Damion Crawford,Damion Crawford,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east_rural,St. Andrew East Rural,House of Representatives,2011,,,,
9ecee95b-ed5c-4d85-9aea-c72fac67ee4c,Daryl Vaz,Daryl Vaz,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:portland/constituency:portland_western,Portland Western,House of Representatives,2011,,,,male
6be3d7de-8a33-4cf5-a096-4ba546ff32ca,Dave Brown,Dave Brown,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:hanover/constituency:hanover_eastern,Hanover Eastern,House of Representatives,2011,,,,
ddabaa5d-89af-4326-a3d0-8050a0109a89,Dayton Campbell,Dayton Campbell,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._ann/constituency:st._ann_north_western,St. Ann North Western,House of Representatives,2011,,,,
6e96ab1b-8307-4d60-a144-9323efb374bb,Delroy Chuck,Delroy Chuck,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_eastern,St. Andrew North Eastern,House of Representatives,2011,,,,male
f4ac077f-b2c2-4c33-a840-5da984a16d46,Denise Daley,Denise Daley,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_eastern,St. Catherine Eastern,House of Representatives,2011,,,,
c23a2048-b55b-4716-a89e-a750eb08b4e3,Derrick C. Smith,Derrick C. Smith,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_western,St. Andrew North Western,House of Representatives,2011,,,,
49406c93-37a8-482d-83d6-324964aaea02,Derrick Kellier,Derrick Kellier,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._james/constituency:st._james_southern,St. James Southern,House of Representatives,2011,,,,
fc4c4c19-6318-4325-b985-93885f6148cf,Desmond McKenzie,Desmond McKenzie,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:kingston/constituency:kingston_western,Kingston Western,House of Representatives,2011,,,,male
f6bda39c-8fcb-493f-8e00-2dd97ecbc850,"Donald K. ""D.K."" Duncan","Donald K. ""D.K."" Duncan",,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:hanover/constituency:hanover_east,Hanover East,House of Representatives,2011,,,,
ad13b121-99ae-4c05-a547-2a588cffc96d,Edmund Bartlett,Edmund Bartlett,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._james/constituency:st._james_east_central,St. James East Central,House of Representatives,2011,,,,male
ecfb5da3-111f-435c-9af1-52591f0631a5,Everald Warmington,Everald Warmington,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_western,St. Catherine South Western,House of Representatives,2011,,,,male
6b654d11-ba15-4273-b6c7-0778e2a93009,Evon Redmond,Evon Redmond,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_north_eastern,St. Elizabeth North Eastern,House of Representatives,2011,,,,
309448bc-92ae-4d86-8051-48ae351139f3,Fayval Williams,Fayval Williams,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_eastern,St. Andrew Eastern,House of Representatives,2011,,,,
ab4f0811-1dba-4c90-a3ad-634bdee43b56,Fenton Ferguson,Fenton Ferguson,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._thomas/constituency:st._thomas_eastern,St. Thomas Eastern,House of Representatives,2011,,,,male
60672256-b448-4b02-b6cf-7987b7ec96d2,Fitz Jackson,Fitz Jackson,,,,People's National Party,people's_national_party,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_southern,St. Catherine Southern,House of Representatives,2011,,,,
0dddd03e-ddd2-4209-9dd0-18364c67de26,Floyd Green,Floyd Green,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_western,St. Elizabeth South Western,House of Representatives,2011,,,,
10434aa6-52ba-4942-8c5d-98a1f0fa83a6,Franklyn Witter,Franklyn Witter,,,,Jamaica Labour Party,jamaica_labour_party,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_eastern,St. Elizabeth South Eastern,House of Representatives,2011,,,,
